Name of State Road Transport Undertaking (SRTU),State,gis_id,Total Revenue (Rs. Lakhs) 2013-14,Total Revenue (Rs. Lakhs) 2012-13,Total Cost (Rs. Lakhs) 2013-14,Total Cost (Rs. Lakhs) 2012-13,Net Profit/Loss (Rs. Lakhs) 2013-14,Net Profit/Loss (Rs. Lakhs) 2012-13,Revenue/Km (Paise) 2013-14,Revenue/Km (Paise) 2012-13,Cost/KM (Paise) 2013-14,Cost/KM (Paise) 2012-13,Profit/Loss per Km (Paise) 2013-14,Profit/Loss per Km (Paise) 2012-13,Revenue/Bus/Day (Rs.) 2013-14,Revenue/Bus/Day (Rs.) 2012-13,Cost/Bus/Day (Rs.) 2013-14,Cost/Bus/Day (Rs.) 2012-13,Profit/Loss per Bus/Day (Rs.) 2013-14,Profit/Loss per Bus/Day (Rs.) 2012-13,Staff Costs (Rs.Lakhs) 2013-14,Staff Costs (Rs.Lakhs) 2012-13,Fuel & Lubricant Costs (Rs.Lakhs) 2013-14,Fuel & Lubricant Costs (Rs.Lakhs) 2012-13,Cost of Tyres & Tubes (Rs.Lakhs) 2013-14,Cost of Tyres & Tubes (Rs.Lakhs) 2012-13,Cost of Spares (Rs.Lakhs) 2013-14,Cost of Spares (Rs.Lakhs) 2012-13,Interest (Rs.Lakhs) 2013-14,Interest (Rs.Lakhs) 2012-13,Depreciation (Rs.Lakhs) 2013-14,Depreciation (Rs.Lakhs) 2012-13,Taxes (Rs.Lakhs) 2013-14,Taxes (Rs.Lakhs) 2012-13,Other Cost (Rs.Lakhs) 2013-14,Other Cost (Rs.Lakhs) 2012-13,Profit before Tax (Rs.Lakhs) 2013-14,Profit before Tax (Rs.Lakhs) 2012-13,Staff Cost as % of Total Cost 2013-14,Staff Cost as % of Total Cost 2012-13,Fuel & Lubricant Cost as % of Total Cost 2013-14,Fuel & Lubricant Cost as % of Total Cost 2012-13,Tyres & Tubes Cost as % of Total Cost 2013-14,Tyres & Tubes Cost as % of Total Cost 2012-13,Spares Cost as % of Total Cost 2013-14,Spares Cost as % of Total Cost 2012-13,Interest Cost as % of Total Cost 2013-14,Interest Cost as % of Total Cost 2012-13,Depreciation Cost as % of Total Cost 2013-14,Depreciation Cost as % of Total Cost 2012-13,Tax Cost as % of Total Cost 2013-14,Tax Cost as % of Total Cost 2012-13,Other Costs as % of Total Cost 2013-14,Other Costs as % of Total Cost 2012-13,Staff Cost per Revenue Earning Km 2013-14,Staff Cost per Revenue Earning Km 2012-13, Fuel & Lubricant Cost per Revenue Earning Km 2013-14, Fuel & Lubricant Cost per Revenue Earning Km 2012-13,Tyres & Tubes Cost per Revenue Earning Km 2013-14,Tyres & Tubes Cost per Revenue Earning Km 2012-13,Spares Cost per Revenue Earning Km 2013-14,Spares Cost per Revenue Earning Km 2012-13,Interest Cost per Revenue Earning Km 2013-14,Interest Cost per Revenue Earning Km 2012-13,Depreciation Cost per Revenue Earning Km 2013-14,Depreciation Cost per Revenue Earning Km 2012-13,Tax Cost per Revenue Earning Km 2013-14,Tax Cost per Revenue Earning Km 2012-13,Other Costs per Revenue Earning Km 2013-14,Other Costs per Revenue Earning Km 2012-13
Metro TC (Chennai) Limited,Tamil Nadu,31,135486.14,125263.34,149679.69,136888.28,-14193.55,-11624.94,3763.05,3638.48,4157.27,3976.14,-394.22,-337.67,10141.94,5215.2,11204.41,10461.27,-1062.47,-888.4,74217.76,68242.21,47772.73,38446.19,3320.98,3289.67,4385.66,4353.86,7683.12,7705.42,5466.71,7945.35,1070.39,1053.55,5762.34,5852.03,-13123.16,-10571.39,49.58,49.85,31.92,28.09,2.22,2.4,2.93,3.18,5.13,5.63,3.65,5.8,0.72,0.77,3.85,4.28,20.61,19.82,13.27,11.17,0.92,0.96,1.22,1.26,2.13,2.24,1.52,2.31,0.3,0.31,1.6,1.7
Mizoram ST,Mizoram,24,170.52,194.6,2402.36,1890.14,-2231.84,-1695.54,2611.33,2729.31,36789.59,26509.68,-34178.25,-23780.36,1374.05,1568.09,19358.26,15230.78,-17984.21,-13662.69,2172.98,1728.1,128.84,94.63,39.78,36.65,60.74,30.74,0,0,0,0,0.02,0.02,0,0,-2231.82,-1695.52,90.45,91.43,5.36,5.01,1.66,1.94,2.53,1.63,0,0,0,0,0,0,0,0,332.77,242.37,19.73,13.27,6.09,5.14,9.3,4.31,0,0,0,0,0,0,0,0
Nagaland ST,Nagaland,25,1225,1137,5051,4468,-3826,-3331,2053.65,1960.34,8467.73,7703.45,-6414.08,-5743.1,1575.66,1336.94,6496.88,5253.69,-4921.22,-3916.75,3298,2934,802,672,239,159,259,267,N.A.,N.A.,377,372,42,42,34,22,-3784,-3289,65.29,65.67,15.88,15.04,4.73,3.56,5.13,5.98,N.A.,N.A.,7.46,8.33,0.83,0.94,0.67,0.49,55.29,50.59,13.45,11.59,4.01,2.74,4.34,4.6,N.A.,N.A.,6.32,6.41,0.7,0.72,0.57,0.38
Navi Mumbai MT,Maharashtra,21,8998.75,10103.96,12644.86,11740.99,-3646.11,-1637.03,3885.3,3951.8,5459.55,4592.06,-1574.25,-640.27,6925.31,8238.71,9731.31,9573.54,-2806,-1334.83,4894.23,4562.82,3809.79,3620.8,257.94,246.81,2286.91,1821.53,137.64,142.23,1028.73,1028.73,229.62,318.07,N.A.,N.A.,-3416.49,-1318.96,38.71,38.86,30.13,30.84,2.04,2.1,18.09,15.51,1.09,1.21,8.14,8.76,1.82,2.71,N.A.,N.A.,21.13,17.85,16.45,14.16,1.11,0.97,9.87,7.12,0.59,0.56,4.44,4.02,0.99,1.24,N.A.,N.A.
North Bengal STC,West Bengal,35,7255.45,7511.84,18876.49,17931.44,-11621.04,-10419.6,2004.77,1858.03,5215.8,4435.29,-3211.03,-2577.26,2889.24,2858.39,7516.92,6823.23,-4627.68,-3964.84,9834.17,9562.08,5615.37,5215.03,481.37,331.01,437.46,291.31,1302,1367.1,580,609,2.17,0,623.95,555.91,-11618.87,-10419.6,52.1,53.33,29.75,29.08,2.55,1.85,2.32,1.62,6.9,7.62,3.07,3.4,0.01,0,3.31,3.1,27.17,23.65,15.52,12.9,1.33,0.82,1.21,0.72,3.6,3.38,1.6,1.51,0.01,0,1.72,1.38
North Eastern Karnataka RTC,Karnataka,17,131070.19,113340.6,134941.85,115433.25,-3871.66,-2092.65,2864.2,2525.17,2948.8,2571.79,-84.6,-46.62,8455.3,7652.1,8705.06,7793.38,-249.76,-141.28,48159.18,42523.39,54121.09,44475.86,5621.67,5098.52,3084.75,2455.86,1603.75,1535.25,7487.52,7806.32,6200.28,5343.28,8663.61,6194.77,2328.62,3250.63,35.69,36.84,40.11,38.53,4.17,4.42,2.29,2.13,1.19,1.33,5.55,6.76,4.59,4.63,6.42,5.37,10.52,9.47,11.83,9.91,1.23,1.14,0.67,0.55,0.35,0.34,1.64,1.74,1.35,1.19,1.89,1.38
North Western Karnataka RTC,Karnataka,17,154459.77,131400,160339,137731.33,-5879.23,-6331.33,2806.73,2492.13,2913.56,2612.21,-106.83,-120.08,9169.61,7959.32,9518.63,8342.83,-349.02,-383.51,56733.76,51710.09,63499.3,52075.91,4721.21,4387.47,2947.78,4176.93,3106.41,3345.63,9757.04,9749.07,7036.89,5877.8,12536.61,6408.43,1157.66,-453.53,35.38,37.54,39.6,37.81,2.94,3.19,1.84,3.03,1.94,2.43,6.09,7.08,4.39,4.27,7.82,4.65,10.31,9.81,11.54,9.88,0.86,0.83,0.54,0.79,0.56,0.63,1.77,1.85,1.28,1.11,2.28,1.22
Odisha SRTC,Odisha,26,7792.26,7643.57,7810.59,6923.1,-18.33,720.47,2673.8,2384.67,2680.09,2159.89,-6.29,224.77,5058.92,5569.49,5070.82,5044.52,-11.9,524.97,1889.16,1329.41,3725.93,3504.09,394.35,432.33,345.55,348.42,111,111,667.92,574.93,367.53,365.77,309.15,257.15,349.2,1086.24,24.19,19.2,47.7,50.61,5.05,6.24,4.42,5.03,1.42,1.6,8.55,8.3,4.71,5.28,3.96,3.71,6.48,4.15,12.78,10.93,1.35,1.35,1.19,1.09,0.38,0.35,2.29,1.79,1.26,1.14,1.06,0.8
Pepsu RTC,Punjab,28,36712.84,34083.71,40294.21,35180.58,-3581.37,-1096.87,3418.84,3127.26,3752.35,3227.9,-333.51,-100.64,10170.18,9518.86,11162.29,9825.19,-992.11,-306.33,16352.11,12999.32,13107.95,11287.42,559.61,574.11,357.46,431.11,793.71,950.03,929.93,855.29,3589.06,3108.72,4604.38,4974.58,7.69,2011.85,40.58,36.95,32.53,32.08,1.39,1.63,0.89,1.23,1.97,2.7,2.31,2.43,8.91,8.84,11.43,14.14,15.23,11.93,12.21,10.36,0.52,0.53,0.33,0.4,0.74,0.87,0.87,0.78,3.34,2.85,4.29,4.56
Pune Mahamandal,Maharashtra,21,60262.53,53261.97,70203.26,59523.5,-9940.73,-6261.53,5494.45,5043.22,6400.79,5636.11,-906.35,-592.89,8968.11,7965.24,10447.46,8901.64,-1479.35,-936.4,34035.95,29351.1,13415.46,11583.12,1776.14,1871.71,,,439.44,425.2,3848.93,4557.95,2177.09,1538.94,14510.25,10195.48,-7763.64,-4722.59,48.48,49.31,19.11,19.46,2.53,3.14,0,0,0.63,0.71,5.48,7.66,3.1,2.59,20.67,17.13,31.03,27.79,12.23,10.97,1.62,1.77,0,0,0.4,0.4,3.51,4.32,1.98,1.46,13.23,9.65
PUNBUS,Punjab,28,37120.62,40058.62,34918.9,33352.74,2201.72,6705.88,2940.13,2889.63,2765.74,2405.9,174.39,483.73,8391.12,9138.19,7893.42,7608.44,497.7,1529.75,8876.04,8458,15252.89,13907.3,1061.57,1093.91,803.95,774.86,286.15,317.5,1280.99,1806.59,6430.91,6272.14,926.4,722.44,8632.63,12978.02,25.42,25.36,43.68,41.7,3.04,3.28,2.3,2.32,0.82,0.95,3.67,5.42,18.42,18.81,2.65,2.17,7.03,6.1,12.08,10.03,0.84,0.79,0.64,0.56,0.23,0.23,1.01,1.3,5.09,4.52,0.73,0.52
State Transport Punjab,Punjab,28,10967.29,14076.24,20764.39,21326.47,-9797.1,-7250.23,3335.14,3441.46,6314.44,5214.04,-2979.29,-1772.59,6844.5,5311.99,12958.71,8048.03,-6114.21,-2736.04,14757.6,14864.13,3943.21,4140.58,183.85,243.98,151.82,236.53,149.47,209.59,36.39,59.37,1370.24,1413,171.81,159.29,-8426.86,-5837.23,71.07,69.7,18.99,19.42,0.89,1.14,0.73,1.11,0.72,0.98,0.18,0.28,6.6,6.63,0.83,0.75,44.88,36.34,11.99,10.12,0.56,0.6,0.46,0.58,0.45,0.51,0.11,0.15,4.17,3.45,0.52,0.39
Rajasthan SRTC,Rajasthan,29,162122.69,144331.97,194564.63,177995.9,-32441.94,-64840.65,2703.93,1620.94,3245.01,1999,-541.08,-728.2,9503.03,8826.56,11404.66,10885.27,-1901.63,-3965.3,71534.68,74224.42,64698.93,51885.11,4623.28,4504.64,2267.5,2343.52,7685.05,6920.59,6212.57,4157.55,14929.48,14422.53,22613.14,19537.54,-17512.46,-50418.12,36.77,41.7,33.25,29.15,2.38,2.53,1.17,1.32,3.95,3.89,3.19,2.34,7.67,8.1,11.62,10.98,11.93,8.34,10.79,5.83,0.77,0.51,0.38,0.26,1.28,0.78,1.04,0.47,2.49,1.62,3.77,2.19
Sikkim NT,Sikkim,30,3410,2901,3908,3661,-498,-760,18109.4,16215.76,20754.12,20463.95,-2644.72,-4248.18,9631.41,8366.26,11037.99,10558.04,-1406.58,-2191.78,3054,2715,588,530,91,40,119,100,0,0,0,0,56,56,0,220,-442,-704,78.15,74.16,15.05,14.48,2.33,1.09,3.05,2.73,0,0,0,0,1.43,1.53,0,6.01,162.19,151.76,31.23,29.63,4.83,2.24,6.32,5.59,0,0,0,0,2.97,3.13,0,12.3
South Bengal STC,West Bengal,35,13492.79,12407.31,17039.97,16574.55,-3547.18,-4167.24,3813.89,3461.67,4816.54,4624.34,-1002.65,-1162.67,8718.53,7126.34,11010.58,9519.86,-2292.05,-2393.52,7012.99,7289.06,5070.82,4423.68,307.36,267.43,393.33,704.1,2193.27,2133.07,965.41,997.06,410.34,394.93,686.45,365.22,-3136.84,-3772.31,41.16,43.98,29.76,26.69,1.8,1.61,2.31,4.25,12.87,12.87,5.67,6.02,2.41,2.38,4.03,2.2,19.82,20.34,14.33,12.34,0.87,0.75,1.11,1.96,6.2,5.95,2.73,2.78,1.16,1.1,1.94,1.02
State Exp.TC TN Ltd.,Tamil Nadu,31,61943.84,50753.62,75115.96,64228.91,-13172.12,-13475.29,2748.93,2486.85,3333.48,3147.12,-584.55,-660.27,15316.71,13344.63,18573.75,16887.68,-3257.04,-3543.05,25384.48,23884.21,25400.74,19796.99,1768.14,1172.71,891.04,783.37,6695.42,6355.58,4675.09,4409.91,904.27,1003.68,9396.78,6822.46,-12267.85,-12471.61,33.79,37.19,33.82,30.82,2.35,1.83,1.19,1.22,8.91,9.9,6.22,6.87,1.2,1.56,12.51,10.62,11.27,11.7,11.27,9.7,0.78,0.57,0.4,0.38,2.97,3.11,2.07,2.16,0.4,0.49,4.17,3.34
Thane MT,Maharashtra,21,8074.64,7005.11,10787.33,9590.81,-2712.69,-2585.7,5722.64,4697.63,7645.17,6431.61,-1922.53,-1733.97,7067.83,6131.66,9442.28,8394.95,-2374.45,-2263.29,6040.82,5162.74,3101.31,2722.14,132.21,172.63,399.07,315.79,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,1113.92,1217.51,N.A.,N.A.,56,53.83,28.75,28.38,1.23,1.8,3.7,3.29,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,10.33,12.69,42.81,34.62,21.98,18.25,0.94,1.16,2.83,2.12,N.A.,N.A.,N.A.,N.A.,N.A.,N.A.,7.89,8.16
TN STC (Coimbatore) Ltd.,Tamil Nadu,31,123538.63,113779.64,144411.17,130548.54,-20872.54,-16768.9,2659.11,2494.95,3108.38,2862.66,-449.27,-367.71,10553.85,9962.45,12336.98,11430.72,-1783.13,-1468.27,66591.89,60670.56,51862.74,43411.01,3826.05,3954.98,2186.55,2174.79,6468.3,7000.14,5471.22,5512.05,3458.46,3384.21,4545.96,4440.8,-17414.08,-13384.69,46.11,46.47,35.91,33.25,2.65,3.03,1.51,1.67,4.48,5.36,3.79,4.22,2.39,2.59,3.15,3.4,14.33,13.3,11.16,9.52,0.82,0.87,0.47,0.48,1.39,1.53,1.18,1.21,0.74,0.74,0.98,0.97
TN STC (Kumbakonam) Ltd.,Tamil Nadu,31,157915.86,145906.22,172382.43,154121.2,-14466.57,-8214.98,2546.76,2377.4,2780.07,2511.26,-233.31,-133.86,11506.55,10868.49,12560.66,11480.42,-1054.11,-611.93,75499.79,67345.63,64423.27,54457.2,4972.93,5189.5,2992.28,2765.35,6161.29,6455.06,5708.23,7079.41,4183.47,4063.3,8441.17,6765.75,-10283.1,-4151.68,43.8,43.7,37.37,35.33,2.88,3.37,1.74,1.79,3.57,4.19,3.31,4.59,2.43,2.64,4.9,4.39,12.18,10.97,10.39,8.87,0.8,0.85,0.48,0.45,0.99,1.05,0.92,1.15,0.67,0.66,1.36,1.1
TN STC (Madurai) Ltd.,Tamil Nadu,31,105100.23,99484.78,116236,105415.79,-11135.77,-5931.01,2695.98,2564.78,2981.63,2717.69,-285.65,-152.91,11476.52,11314.28,12692.5,11988.81,-1215.98,-674.53,53331.69,48470.53,42416.77,35934.88,3175.27,3173.78,1690.99,1535.57,3702.3,3769.34,3826.32,4725.82,2292.38,2218.88,5800.28,5586.99,-8843.39,-3712.13,45.88,45.98,36.49,34.09,2.73,3.01,1.45,1.46,3.19,3.58,3.29,4.48,1.97,2.1,4.99,5.3,13.68,12.5,10.88,9.26,0.81,0.82,0.43,0.4,0.95,0.97,0.98,1.22,0.59,0.57,1.49,1.44
TN STC (Salem) Ltd.,Tamil Nadu,31,86744.91,82270.52,103254.53,91950.94,-16509.62,-9680.42,2365.1,2230.47,2815.24,2492.92,-450.14,-262.45,11194.41,10697.61,13324.97,11956.35,-2130.56,-1258.74,44212.34,39237.97,38945.53,33536.95,1518.33,1464.83,2201.65,2358.48,4436.5,4589.61,3133.79,2584.48,2466.47,2529.63,6339.92,5648.99,-14043.15,-7150.79,42.82,42.67,37.72,36.47,1.47,1.59,2.13,2.56,4.3,4.99,3.04,2.81,2.39,2.75,6.14,6.14,12.05,10.64,10.62,9.09,0.41,0.4,0.6,0.64,1.21,1.24,0.85,0.7,0.67,0.69,1.73,1.53
TN STC (Villupuram) Ltd.,Tamil Nadu,31,153204.52,142883,166326.28,147791.43,-13121.76,-4908.43,2539.53,2393.35,2757.03,2475.57,-217.51,-82.22,12099.69,11513.54,13136.02,11909.06,-1036.32,-395.52,71426.07,64508.23,63106.75,52616.87,3986.39,4267.82,2735.1,3275.02,4538.82,4393.43,6181.69,5895.49,4180.36,4114.39,10171.1,8720.18,-8941.4,-794.04,42.94,43.65,37.94,35.6,2.4,2.89,1.64,2.22,2.73,2.97,3.72,3.99,2.51,2.78,6.12,5.9,11.84,10.81,10.46,8.81,0.66,0.71,0.45,0.55,0.75,0.74,1.02,0.99,0.69,0.69,1.69,1.46
Tripura RTC,Tripura,32,330.07,1900,1890.27,3175,-1560.2,-1275,2705.49,12179.49,15494.02,20352.56,-12788.52,-8173.08,1924.05,8262.67,11018.77,13807.35,-9094.72,-5544.68,1445,1460,111.41,180,19.14,50,40.49,70,0,1160,70,80,10.57,25,193.66,150,-1549.63,-1250,76.44,45.98,5.89,5.67,1.01,1.57,2.14,2.2,0,36.54,3.7,2.52,0.56,0.79,10.25,4.72,118.44,93.59,9.13,11.54,1.57,3.21,3.32,4.49,0,74.36,5.74,5.13,0.87,1.6,15.87,9.62
Uttar Pradesh SRTC,Uttar Pradesh,33,291465.63,252935.8,305108.87,261195.82,-13643.24,-8260.02,2485,2274.19,2601.32,2348.46,-116.32,-74.27,8318.08,7792.36,8707.44,8046.83,-389.36,-254.47,92652.78,82019.2,102880.68,82135.74,6936.21,7260.08,7044.69,7250.5,4026.9,2833.85,14598.6,12698.55,26523,29366.49,50446.01,37631.41,12879.76,21106.47,30.37,31.4,33.72,31.45,2.27,2.78,2.31,2.78,1.32,1.08,4.78,4.86,8.69,11.24,16.53,14.41,7.9,7.37,8.77,7.38,0.59,0.65,0.6,0.65,0.34,0.25,1.24,1.14,2.26,2.64,4.3,3.38
Uttarakhand TC,Uttarakhand,34,40428.84,33714.68,44456.75,36249.48,-4027.91,-2534.8,2878.21,2546.46,3164.97,2737.92,-286.76,-191.45,9041.95,7602.39,9942.8,8173.96,-900.85,-571.58,14537.24,12293.17,17155.56,13720.36,2138.19,1118.2,2127.64,1149.51,0,0,2097.34,2325.32,3548.77,2722.57,2852.01,2920.35,-479.14,187.77,32.7,33.91,38.59,37.85,4.81,3.08,4.79,3.17,0,0,4.72,6.41,7.98,7.51,6.42,8.06,10.35,9.29,12.21,10.36,1.52,0.84,1.51,0.87,0,0,1.49,1.76,2.53,2.06,2.03,2.21
