gis_id,srtu_id,srtu_name,state,average_fleet_held_val_2013-14,average_fleet_held_val_2012-13,average_fleet_operated_val_2013-14,average_fleet_operated_val_2012-13,fleet_utilisation_perc_2013-14,fleet_utilisation_perc_2012-13,avg_age_of_fleet_val_2013-14,avg_age_of_fleet_val_2012-13,over_aged_vehicles_perc_2013-14,over_aged_vehicles_perc_2012-13,number_of_accidents_2013-14,number_of_accidents_2012-13,number_of_fatal_accidents_2013-14,number_of_fatal_accidents_2012-1_3,revenue_earning_kilometres_2013-14,revenue_earning_kilometres_2012-13,number_of_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_accidents_per_lakh_reveue_earning_kilometres_2012-13,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_fatal_accidents_per_lakh_reveue_earni_ng_kilometres_2012-13,staff_strength_2013-14,staff_strength_2012-13,staff_bus_ratio_2013-14,staff_bus_ratio_2012-13,staff_productivity_2013-14,staff_productivity_2012-13,vehicle_productivity_2013-14,vehicle_productivity_2012-13,fuel_efficiency_2013-14,fuel_efficiency_2012-13,passenger_kilometres_offered_2013-14,passenger_kilometres_offered_2012-13,passenger_kms_p_erformed_2013-14,passenger_kms_performed_2012-13,occupancy_ratio_2013-14,occupancy_ratio_2012-13,passenger_carried_2013-14,passenger_carried_2012-13,passengers_carried_per_bus_per_day_2013-14,passengers_carried_per_bus_per_day_2012-13,total_revenue_2013-14,total_reven_ue_2012-13,total_cost_2013-14,total_cost_2012-13,net_profit_loss_2013-14,net_profit_loss_2012-13,revenue_per_km_2013-14,revenue_per_km_2012-13,cost_per_km_2013-14,cost_per_km_2012-13,profit_loss_per_km_2013-14,profit_loss_per_km_2012-13,revenue_per_bus_per_day_2013-14,revenue_per_bus_per_day_2012-13,cost_per_bus_per_day_2013-14,cost_per_bus_per_day_2012-13,profit_loss_per_bus_per_day_2013-14,profit_loss_per_bus_per_day_2012-13,staff_costs_2013-14,staff_costs_2012-13,fuel_lubricant_costs_2013-14,fuel_lubricant_costs_201_2-13,cost_of_tyres_tubes_2013-14,cost_of_tyres_tubes_2012-13,cost_of_spares_2013-14,cost_of_spares_2012-13,interest_2013-14,interest_2012-13,depreciation_2013-14,depreciation_2012-13,taxes_2013-14,taxes_2012-13,other_cost_2013-14,other_cost_2012-13,profit_before_tax_2013-14,profit_before_tax_2012-13,staff_cost_as_percent_of_total_cost_2013-14,staff_cost_as_percent_of_total_cost_2012-13,fuel_lubricant_cost_as_percent_of_total_cost_2013-14,fuel_lubricant_cost_as_percent_of_total_cost_2012-13,tyres_tubes_cost_as_percent_of_total_cost_2013-14,tyres_tubes_cost_as_percent_of_total_cost_2012-13,spares_cost_as_percent_of_total_cost_2013-14,spares_cost_as_percent_of_total_cost_2012-13,interest_cost_as_percent_of_total_cost_2013-14,interest_cost_as_percent_of_total_cost_2012-13,depreciation_cost_as_percent_of_total_cost_2013-14,depreciation_cost_as_percent_of_total_cost_2012-13,tax_cost_as_percent_of_total_cost_2013-14,tax_cost_as_percent_of_total_cost_2012-13,other_costs_as_percent_of_total_cost_2013-14,other_costs_as_percent_of_total_cost_2012-13,staff_cost_per_revenue_earning_km_2013-14,staff_cost_per_revenue_earning_km_2012-13,fuel_lubricant_cost_per_revenue_earning_km_2013-14,fuel_lubricant_cost_per_revenue_earning_km_2012-13,tyres_tubes_cost_per_revenue_earning_km_2013-14,tyres_tubes_cost_per_revenue_earning_km_2012-13,spares_cost_per_revenue_earning_km_2013-14,spares_cost_per_revenue_e_arning_km_2012-13,interest_cost_per_revenue_earning_km_2013-14,interest_cost_per_revenue_earning_km_2012-13,depreciation_cost_per_revenue_earning_km_2013-14,deprecia_tion_cost_per_revenue_earning_km_2012-13,tax_cost_per_revenue_earning_km_2013-14,tax_cost_per_revenue_earning_km_2012-13,other_costs_per_revenue_earning_km_2013-14,other_costs_per_revenue_earning_km_2012-13
G1,3,Andaman & Nicobar ST,A & N Islands,258,227,247,199,95.7,87.7,7.3,8.2,14,29,9,16,1,2,100.3,89.7,0.09,0.18,0.01,0.02,858,858,3.33,3.78,32.04,28.64,106.54,108.25,3.79,3.54,101.5,91.3,100.3,89.7,98.9,98.2,101.8,133.1,108.1,160.7,1886.55,1671.55,4870.71,4299.22,-2984.16,-2627.67,1880.34,1863.7,4854.69,4793.42,-2974.34,-2929.72,2003.35,2017.44,5172.25,5188.85,-3168.91,-3171.41,1675.44,1604.15,1594.07,1246.87,200,191.56,338.55,302.55,517.62,471.02,443.59,385.22,101.44,97.85,0,0,-2882.72,-2529.82,34.4,37.31,32.73,29,4.11,4.46,6.95,7.04,10.63,10.96,9.11,8.96,2.08,2.28,0,0,16.7,17.89,15.89,13.9,1.99,2.14,3.37,3.37,5.16,5.25,4.42,4.3,1.01,1.09,0,0
G2,2,Andhra Pradesh SRTC,Andhra Pradesh,22145,22477,20423,22402,92.2,99.7,NaN,NaN,NaN,NaN,2103,2413,805,928,26226,29783,0.08,0.08,0.03,0.03,122109,122287,5.51,5.44,58.84,66.73,324.46,363.03,5.15,5.15,1299236,1476939,882441,1017168,67.9,68.9,50381,51673.1,623.3,629.8,660324.12,666151.62,744592.96,669864.92,-84268.84,-3713.3,2517.82,2236.68,2839.14,2249.15,-321.32,-12.47,8169.37,8119.74,9211.92,8165,-1042.55,-45.26,299258.43,267343.43,251505.84,248260.86,17921.09,18730.75,10910.15,10288.36,38471.32,36861.9,39567.58,42734.72,45338.19,7789.2,41620.36,37855.7,-38930.65,4075.9,40.19,39.91,33.78,37.06,2.41,2.8,1.47,1.54,5.17,5.5,5.31,6.38,6.09,1.16,5.59,5.65,11.41,8.98,9.59,8.34,0.68,0.63,0.42,0.35,1.47,1.24,1.51,1.43,1.73,0.26,1.59,1.27
G3,4,Arunachal Pradesh ST,Arunachal Pradesh,219,207,104,104,47.5,50.2,9,8,53,56,1,1,NaN,NaN,81.1,76.7,0.01,0.01,NaN,NaN,809,809,3.69,3.91,27.47,25.98,101.48,101.53,3.33,3.33,91.9,79,83.1,78.5,90.5,99.4,0.3,0.3,0.4,0.4,16.2,15.4,54.95,53,-38.75,-37.6,19.97,20.08,67.74,69.09,-47.77,-49.02,20.27,20.38,68.74,70.15,-48.48,-49.77,26.95,25.98,13,12.02,1.49,1.45,13.51,13.55,0,0,0,0,0,0,0,0,-38.75,-37.6,49.04,49.02,23.66,22.68,2.71,2.74,24.59,25.57,0,0,0,0,0,0,0,0,0.33,0.34,0.16,0.16,0.02,0.02,0.17,0.18,0,0,0,0,0,0,0,0
G5,7,Bihar SRTC,Bihar,414,414,88,107,21.3,25.8,11.8,10.8,100,98,2,1,0,0,71.5,100.7,0.03,0.01,0,0,920,1204,2.22,2.91,21.3,22.9,47.33,66.61,4.31,4.32,3433,4831.2,2677.7,3575.1,78,74,26.5,52.9,17.5,35,1630.53,2053.36,2576.02,3062.69,-945.49,-1009.33,2279.82,2040.1,3601.82,3042.91,-1321.99,-1002.81,1079.04,1358.85,1704.73,2026.8,-625.7,-667.94,1224,1491,815.38,957.17,98.79,133.75,131.53,145.31,NaN,NaN,NaN,NaN,31.74,37.66,274.58,297.8,-913.75,-971.67,47.52,48.68,31.65,31.25,3.83,4.37,5.11,4.74,NaN,NaN,NaN,NaN,1.23,1.23,10.66,9.72,17.11,14.81,11.4,9.51,1.38,1.33,1.84,1.44,NaN,NaN,NaN,NaN,0.44,0.37,3.84,2.96
G6,9,Chandigarh TU,Chandigarh,468,472,401,424,85.7,89.8,6.86,6.1,51.6,23.5,131,115,5,6,335.2,373.2,0.39,0.31,0.01,0.02,1826,1921,3.9,4.07,50.29,53.22,196.23,216.6,3.42,3.62,16760,18658,15419.2,17165.4,92,92,611.9,671.6,358.2,389.8,10430.16,10795.1,17551.98,17812.39,-7121.82,-7017.29,3111.62,2892.89,5236.27,4773.39,-2124.65,-1880.5,6105.94,6266.02,10275.13,10339.21,-4169.2,-4073.19,7695.98,7105.61,5796.71,4643.61,315.74,287.01,833.03,753.99,74.22,74.2,758.38,762.88,830.72,1080.85,1247.2,3104.24,-6291.1,-5936.44,43.85,39.89,33.03,26.07,1.8,1.61,4.75,4.23,0.42,0.42,4.32,4.28,4.73,6.07,7.11,17.43,22.96,19.04,17.29,12.44,0.94,0.77,2.49,2.02,0.22,0.2,2.26,2.04,2.48,2.9,3.72,8.32
G10,10,Delhi TC,Delhi,5341,5602,4567,4805,85.5,85.8,6.3,5,27.57,30.01,225,251,63,68,3165.21,3534.09,0.07,0.07,0.02,0.02,35503,38103,6.65,6.8,24.43,25.41,162.36,172.84,2.79,2.82,186747.39,208511.31,155143.46,180219.85,83.1,86.4,15867.61,17071.79,813.9,834.9,120957.8,130444.24,466803.19,429667.95,-345845.39,-299223.71,3821.48,3691.03,14747.94,12157.81,-10926.46,-8466.78,6204.67,6379.53,23945.19,21013.43,-17740.53,-14633.9,127334.08,121432.98,54621.78,56868.78,885.6,959.39,2737.18,2752.34,234915.48,203959.67,17141.82,17744.39,2249.87,2169.2,26917.38,23781.2,-343595.52,-297054.51,27.28,28.26,11.7,13.24,0.19,0.22,0.59,0.64,50.32,47.47,3.67,4.13,0.48,0.5,5.77,5.53,40.23,34.36,17.26,16.09,0.28,0.27,0.86,0.78,74.22,57.71,5.42,5.02,0.71,0.61,8.5,6.73
G11,15,Kadamba TC Ltd.,Goa,547,425,313,276,57.2,64.9,4.5,6.5,4.8,16.9,59,80,5,9,286,255.64,0.21,0.31,0.02,0.04,2013,1861,3.68,4.38,38.93,37.63,143.27,164.8,4.34,4.48,11069.8,8397.8,7782,7902,70.3,94.1,317.3,301.1,158.9,194.1,12464.47,9477.47,14869.25,10801.64,-2404.78,-1324.17,4357.6,3707.35,5198.31,4225.33,-840.71,-517.98,6243,4093.41,7447.47,6963.18,-1204.47,-853.61,8051.53,6349.9,3956.64,2879.63,236.21,220.97,107.5,163.59,573.82,690.51,1028.98,510.19,173.93,157.64,740.64,-170.79,-2230.85,-1166.53,54.15,58.79,26.61,26.66,1.59,2.05,0.72,1.51,3.86,6.39,6.92,4.72,1.17,1.46,4.98,-1.58,28.15,24.84,13.83,11.26,0.83,0.86,0.38,0.64,2.01,2.7,3.6,2,0.61,0.62,2.59,-0.67
G12,1,Ahmedabad MTC,Gujrat,1036,1120,728,750,70.3,67,6.3,6.7,18.4,24.1,552,578,17,15,541.8,541.1,1.02,1.07,0.03,0.03,5293,5739,5.11,5.12,28.05,25.83,143.29,132.35,3.07,3.17,29621.6,30647.4,15351.8,19022.7,51.8,62.1,2022.7,2396,534.9,586.1,15374.75,14373.79,35633.82,31591.22,-20259.07,-17217.43,2837.61,2656.6,6576.69,5838.76,-3739.08,-3182.17,4065.89,3516.09,9423.45,7727.79,-5357.56,-4211.7,17012,15724.96,5361.68,5249,246.66,182.27,322.79,455.2,738.38,643.37,0,0,160.12,188.52,11792.19,9147.9,-20098.95,-17028.91,47.74,49.78,15.05,16.62,0.69,0.58,0.91,1.44,2.07,2.04,0,0,0.45,0.6,33.09,28.96,31.4,29.06,9.9,9.7,0.46,0.34,0.6,0.84,1.36,1.19,0,0,0.3,0.35,21.76,16.91
G12,11,Gujarat SRTC,Gujrat,7852,7719,6652,6694,84.7,86.7,NaN,NaN,1.9,2.9,729,729,149,129,10327.6,10349,0.07,0.07,0.01,0.01,40070,40370,5.1,5.23,70.61,70.23,360.35,367.32,5.5,5.51,508471.6,508151,336104.2,351520.5,66.1,69.2,8049.6,8410.6,280.9,298.5,277819.16,248547.88,297164.54,272131.43,-19345.38,-23583.55,2690.07,2401.66,2877.39,2629.54,-187.32,-227.88,9693.69,8821.78,10368.69,9658.84,-675,-837.06,106480.33,103470.96,113288.71,96740.52,7116.87,6591.88,3172.82,2979.31,9426.61,8365.61,15780.2,15840.96,32422.33,29146.85,9476.67,8995.34,13076.95,5563.3,35.83,38.02,38.12,35.55,2.39,2.42,1.07,1.09,3.17,3.07,5.31,5.82,10.91,10.71,3.19,3.31,10.31,10,10.97,9.35,0.69,0.64,0.31,0.29,0.91,0.81,1.53,1.53,3.14,2.82,0.92,0.87
G13,12,Haryana ST,Haryana,3816,3755,3393,3474,88.9,92.5,3.1,3.1,3,3,241,295,91,92,4213.2,4225.8,0.06,0.07,0.02,0.02,18634,18974,4.88,5.05,61.95,61.02,302.49,308.32,4.73,4.76,210658,211289,152849,164849,72.6,78,4466.1,4527.2,320.6,330.3,124308.49,113245.18,164987.88,141726.37,-40679.39,-28481.19,2950.48,2679.86,3916.01,3353.85,-965.53,-673.99,8924.82,4522.65,11845.43,10340.65,-2920.61,-2078.05,69657.77,61986.36,55097.58,41722.41,2696.09,3101.53,3177.97,2751.18,2900,2900,3380,3380,22726.93,20821.31,5351.54,5063.58,-17952.46,-7659.88,42.22,43.74,33.39,29.44,1.63,2.19,1.93,1.94,1.76,2.05,2.05,2.38,13.77,14.69,3.24,3.57,16.53,14.67,13.08,9.87,0.64,0.73,0.75,0.65,0.69,0.69,0.8,0.8,5.39,4.93,1.27,1.2
G14,13,Himachal RTC,Himachal Pradesh,2162,2076,2144,2013,99.2,97,NaN,NaN,20,23,100,97,24,15,1691.3,1638.9,0.06,0.06,0.01,0.01,8777,8419,4.06,4.06,52.79,53.33,214.33,216.29,3.58,3.61,74418.5,72110.7,74418.5,72110.7,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G15,14,J&K SRTC,Jammu & Kashmir,694,704,315,329,45.4,46.7,10.3,9,53,50,32,20,6,5,201.5,207.1,0.16,0.1,0.03,0.02,2235,2207,3.22,3.13,24.7,25.71,79.55,80.59,4.28,4.24,8463.4,8697.8,6435.9,6929,76,79.7,51.8,50.7,20.4,19.7,5784.89,5453.78,10183.98,8234.63,-4399.09,-2780.85,2870.77,2633.53,5053.83,3976.35,-2183.06,-1342.82,2283.72,1622.52,4020.36,3204.63,-1736.64,-1082.21,5507.54,4169.22,2764.7,2251.38,235.77,229.24,225.69,203.86,NaN,NaN,491.96,456.29,756.64,729.3,201.68,195.34,-3642.45,-2051.55,54.08,50.63,27.15,27.34,2.32,2.78,2.22,2.48,NaN,NaN,4.83,5.54,7.43,8.86,1.98,2.37,27.33,20.13,13.72,10.87,1.17,1.11,1.12,0.98,NaN,NaN,2.44,2.2,3.75,3.52,1,0.94
G17,6,Bangalore Metropolitan TC,Karnataka,6603,6328,6022,5745,91.2,90.8,5.3,4.6,4.6,5.1,370,384,80,88,4795.9,4638.4,0.08,0.08,0.02,0.02,36076,34278,5.46,5.42,36.42,37.07,198.99,200.82,3.82,3.84,303675.2,302751.4,198796.6,214586.1,65.5,70.9,17938,17111.7,744.3,740.9,201394.23,166045.58,215146.98,180841.03,-13752.75,-14795.45,4199.3,3579.82,4486.06,3898.8,-286.76,-318.98,8356.28,7188.99,8926.91,7829.57,-570.63,-640.57,90245.67,75799.7,76621.97,61794.82,3515.13,3685.7,5899.59,6112.66,5972.88,3230.17,13614.62,12742.02,9798.93,8413.81,9478.19,9062.15,-3953.82,-6381.64,41.95,41.92,35.61,34.17,1.63,2.04,2.74,3.38,2.78,1.79,6.33,7.05,4.55,4.65,4.41,5.01,18.82,16.34,15.98,13.32,0.73,0.79,1.23,1.32,1.25,0.7,2.84,2.75,2.04,1.81,1.98,1.95
G17,16,Karnataka SRTC,Karnataka,8255,7831,7532,7184,91.2,91.7,3.8,3.6,22.8,11.6,1266,1170,303,269,9882.3,9415.6,0.13,0.12,0.03,0.03,38776,36249,4.7,4.63,69.82,71.16,327.98,329.41,4.76,4.8,514568.8,489613.3,354624.8,368678.8,68.9,75.3,9565.5,9390.9,317.5,328.5,296626.35,259233,304182.14,259058.8,-7555.79,174.2,3001.61,2753.22,3078.07,2751.37,-76.46,1.85,9844.64,9069.43,10095.41,9063.34,-250.77,6.09,98128.66,87540.78,125105.84,101254.3,9434.19,9686.82,8829.02,8055.31,3022.22,2256.68,20916.15,19566.89,14542.09,12813.47,24203.97,18456.81,6986.3,12987.67,32.26,33.79,41.13,39.09,3.1,3.74,2.9,3.11,0.99,0.87,6.88,7.55,4.78,4.95,7.96,7.12,9.93,9.3,12.66,10.75,0.95,1.03,0.89,0.86,0.31,0.24,2.12,2.08,1.47,1.36,2.45,1.96
G17,25,North Eastern Karnataka RTC,Karnataka,4247,4058,3794,3631,89.3,89.5,5.3,5.1,17.5,12.3,479,431,121,126,4576.2,4488.4,0.1,0.1,0.03,0.03,19128,18455,4.5,4.55,65.54,66.63,295.21,303.03,5.14,5.22,247112.6,237887.5,153731.8,154907.6,62.2,65.1,4872.8,4836.3,314.3,326.5,131070.19,113340.6,134941.85,115433.25,-3871.66,-2092.65,2864.2,2525.17,2948.8,2571.79,-84.6,-46.62,8455.3,7652.1,8705.06,7793.38,-249.76,-141.28,48159.18,42523.39,54121.09,44475.86,5621.67,5098.52,3084.75,2455.86,1603.75,1535.25,7487.52,7806.32,6200.28,5343.28,8663.61,6194.77,2328.62,3250.63,35.69,36.84,40.11,38.53,4.17,4.42,2.29,2.13,1.19,1.33,5.55,6.76,4.59,4.63,6.42,5.37,10.52,9.47,11.83,9.91,1.23,1.14,0.67,0.55,0.35,0.34,1.64,1.74,1.35,1.19,1.89,1.38
G17,26,North Western Karnataka RTC,Karnataka,4615,4523,4385,4210,95,93.1,NaN,NaN,26.5,21.1,NaN,NaN,NaN,NaN,5503.2,5272.6,NaN,NaN,NaN,NaN,22508,22262,4.88,4.92,66.99,64.89,326.7,319.38,5.1,5.09,280663,263630,172959,171826,61.6,65.2,8395,8212.5,498.4,497.5,154459.77,131400,160339,137731.33,-5879.23,-6331.33,2806.73,2492.13,2913.56,2612.21,-106.83,-120.08,9169.61,7959.32,9518.63,8342.83,-349.02,-383.51,56733.76,51710.09,63499.3,52075.91,4721.21,4387.47,2947.78,4176.93,3106.41,3345.63,9757.04,9749.07,7036.89,5877.8,12536.61,6408.43,1157.66,-453.53,35.38,37.54,39.6,37.81,2.94,3.19,1.84,3.03,1.94,2.43,6.09,7.08,4.39,4.27,7.82,4.65,10.31,9.81,11.54,9.88,0.86,0.83,0.54,0.79,0.56,0.63,1.77,1.85,1.28,1.11,2.28,1.22
G18,17,Kerala SRTC,Kerala,5830,5847,4704,4772,80.7,81.6,6.7,6.5,25,23.6,1037,1086,182,154,5552.3,5554.9,0.19,0.2,0.03,0.03,42240,39712,7.25,6.79,36.01,38.32,260.92,260.29,4.21,4.25,6907.1,6786,NaN,NaN,NaN,NaN,11634.3,12156.3,546.7,569.6,169058,161701.72,227706,216788.28,-58648,-55086.56,3044.83,2910.97,4101.11,3902.65,-1056.28,-991.68,7944.64,7576.85,10700.72,10158.04,-2756.08,-2581.19,66978,57978.23,72000,70216.03,4845,4807.87,4537,4190.1,22846,25222.28,6700,6610.21,27000,26956.66,22800,20806.9,-31648,-28129.9,29.41,26.74,31.62,32.39,2.13,2.22,1.99,1.93,10.03,11.63,2.94,3.05,11.86,12.43,10.01,9.6,12.06,10.44,12.97,12.64,0.87,0.87,0.82,0.75,4.11,4.54,1.21,1.19,4.86,4.85,4.11,3.75
G21,5,BEST Undertaking,Maharashtra,4314,4484,3753,3799,87,84.7,7.6,6.6,0,0,700,770,31,30,2550.8,2652,0.27,0.29,0.01,0.01,36494,36620,8.46,8.17,19.15,19.84,161.99,162.04,2.84,2.87,168352,175032,98432,114458,58.5,65.4,13068,14096,829.9,861.3,143510.38,142568.38,218435.18,205611.6,-74924.8,-63043.22,5626.14,5375.88,8563.47,7753.08,-2937.33,-2377.2,9114.03,8710.93,13872.34,12562.88,-4758.31,-3851.94,138497.95,121381.37,43879.13,38846.45,2615.46,2620.02,7654.12,7146.35,11542.91,16118.52,3736.16,6749.1,2483.58,2616.08,8025.87,10133.71,-72441.22,-60427.14,63.4,59.03,20.09,18.89,1.2,1.27,3.5,3.48,5.28,7.84,1.71,3.28,1.14,1.27,3.67,4.93,54.3,45.77,17.2,14.65,1.03,0.99,3,2.69,4.53,6.08,1.46,2.54,0.97,0.99,3.15,3.82
G21,18,Maharashtra SRTC,Maharashtra,18055,17497,16523,16215,91.5,92.7,3.9,3.1,0,6.7,3154,3078,387,369,20466,19931,0.15,0.15,0.02,0.02,107885,100052,5.98,5.72,51.97,54.58,310.56,312.08,4.77,4.87,906642,886740,528386,536151,58.3,60.5,25630,26064,388.9,408.1,673626,609579,732321,652462,-58695,-42883,3291.44,3058.45,3578.23,3273.6,-286.79,-215.16,10221.83,9544.95,11112.48,10216.42,-890.66,-671.47,280125,263343,256529,205589,18994,16981,13906,13663,134,250,40793,36457,99735,90682,22105,25497,41040,47799,38.25,40.36,35.03,31.51,2.59,2.6,1.9,2.09,0.02,0.04,5.57,5.59,13.62,13.9,3.02,3.91,13.69,13.21,12.53,10.32,0.93,0.85,0.68,0.69,0.01,0.01,1.99,1.83,4.87,4.55,1.08,1.28
