gis_id,srtu_id,srtu_name,state,average_fleet_held_val_2013-14,average_fleet_held_val_2012-13,average_fleet_operated_val_2013-14,average_fleet_operated_val_2012-13,fleet_utilisation_perc_2013-14,fleet_utilisation_perc_2012-13,avg_age_of_fleet_val_2013-14,avg_age_of_fleet_val_2012-13,over_aged_vehicles_perc_2013-14,over_aged_vehicles_perc_2012-13,number_of_accidents_2013-14,number_of_accidents_2012-13,number_of_fatal_accidents_2013-14,number_of_fatal_accidents_2012-1_3,revenue_earning_kilometres_2013-14,revenue_earning_kilometres_2012-13,number_of_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_accidents_per_lakh_reveue_earning_kilometres_2012-13,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_fatal_accidents_per_lakh_reveue_earni_ng_kilometres_2012-13,staff_strength_2013-14,staff_strength_2012-13,staff_bus_ratio_2013-14,staff_bus_ratio_2012-13,staff_productivity_2013-14,staff_productivity_2012-13,vehicle_productivity_2013-14,vehicle_productivity_2012-13,fuel_efficiency_2013-14,fuel_efficiency_2012-13,passenger_kilometres_offered_2013-14,passenger_kilometres_offered_2012-13,passenger_kms_p_erformed_2013-14,passenger_kms_performed_2012-13,occupancy_ratio_2013-14,occupancy_ratio_2012-13,passenger_carried_2013-14,passenger_carried_2012-13,passengers_carried_per_bus_per_day_2013-14,passengers_carried_per_bus_per_day_2012-13,total_revenue_2013-14,total_reven_ue_2012-13,total_cost_2013-14,total_cost_2012-13,net_profit_loss_2013-14,net_profit_loss_2012-13,revenue_per_km_2013-14,revenue_per_km_2012-13,cost_per_km_2013-14,cost_per_km_2012-13,profit_loss_per_km_2013-14,profit_loss_per_km_2012-13,revenue_per_bus_per_day_2013-14,revenue_per_bus_per_day_2012-13,cost_per_bus_per_day_2013-14,cost_per_bus_per_day_2012-13,profit_loss_per_bus_per_day_2013-14,profit_loss_per_bus_per_day_2012-13,staff_costs_2013-14,staff_costs_2012-13,fuel_lubricant_costs_2013-14,fuel_lubricant_costs_201_2-13,cost_of_tyres_tubes_2013-14,cost_of_tyres_tubes_2012-13,cost_of_spares_2013-14,cost_of_spares_2012-13,interest_2013-14,interest_2012-13,depreciation_2013-14,depreciation_2012-13,taxes_2013-14,taxes_2012-13,other_cost_2013-14,other_cost_2012-13,profit_before_tax_2013-14,profit_before_tax_2012-13,staff_cost_as_percent_of_total_cost_2013-14,staff_cost_as_percent_of_total_cost_2012-13,fuel_lubricant_cost_as_percent_of_total_cost_2013-14,fuel_lubricant_cost_as_percent_of_total_cost_2012-13,tyres_tubes_cost_as_percent_of_total_cost_2013-14,tyres_tubes_cost_as_percent_of_total_cost_2012-13,spares_cost_as_percent_of_total_cost_2013-14,spares_cost_as_percent_of_total_cost_2012-13,interest_cost_as_percent_of_total_cost_2013-14,interest_cost_as_percent_of_total_cost_2012-13,depreciation_cost_as_percent_of_total_cost_2013-14,depreciation_cost_as_percent_of_total_cost_2012-13,tax_cost_as_percent_of_total_cost_2013-14,tax_cost_as_percent_of_total_cost_2012-13,other_costs_as_percent_of_total_cost_2013-14,other_costs_as_percent_of_total_cost_2012-13,staff_cost_per_revenue_earning_km_2013-14,staff_cost_per_revenue_earning_km_2012-13,fuel_lubricant_cost_per_revenue_earning_km_2013-14,fuel_lubricant_cost_per_revenue_earning_km_2012-13,tyres_tubes_cost_per_revenue_earning_km_2013-14,tyres_tubes_cost_per_revenue_earning_km_2012-13,spares_cost_per_revenue_earning_km_2013-14,spares_cost_per_revenue_e_arning_km_2012-13,interest_cost_per_revenue_earning_km_2013-14,interest_cost_per_revenue_earning_km_2012-13,depreciation_cost_per_revenue_earning_km_2013-14,deprecia_tion_cost_per_revenue_earning_km_2012-13,tax_cost_per_revenue_earning_km_2013-14,tax_cost_per_revenue_earning_km_2012-13,other_costs_per_revenue_earning_km_2013-14,other_costs_per_revenue_earning_km_2012-13
G21,23,Navi Mumbai MT,Maharashtra,356,336,222,224,62.4,66.7,5.3,5.86,17.1,12.2,272,346,0,5,231.61,255.68,1.17,1.35,0,0.02,2116,2649,5.94,7.88,29.99,26.44,178.24,208.48,2.81,2.95,NaN,NaN,NaN,NaN,NaN,NaN,746.05,857.54,574.1,699.2,8998.75,10103.96,12644.86,11740.99,-3646.11,-1637.03,3885.3,3951.8,5459.55,4592.06,-1574.25,-640.27,6925.31,8238.71,9731.31,9573.54,-2806,-1334.83,4894.23,4562.82,3809.79,3620.8,257.94,246.81,2286.91,1821.53,137.64,142.23,1028.73,1028.73,229.62,318.07,NaN,NaN,-3416.49,-1318.96,38.71,38.86,30.13,30.84,2.04,2.1,18.09,15.51,1.09,1.21,8.14,8.76,1.82,2.71,NaN,NaN,21.13,17.85,16.45,14.16,1.11,0.97,9.87,7.12,0.59,0.56,4.44,4.02,0.99,1.24,NaN,NaN
G21,29,Pune Mahamandal,Maharashtra,1841,1832,1295,1254,70.3,68.4,8,7.2,0,0,63,95,12,14,1096.8,1056.1,0.06,0.09,0.01,0.01,10466,10879,5.68,5.94,28.71,26.6,163.22,157.94,3.21,3.32,64217.9,62456.7,47930.8,43985.4,74.6,70.4,4248.9,4352,632.3,650.8,60262.53,53261.97,70203.26,59523.5,-9940.73,-6261.53,5494.45,5043.22,6400.79,5636.11,-906.35,-592.89,8968.11,7965.24,10447.46,8901.64,-1479.35,-936.4,34035.95,29351.1,13415.46,11583.12,1776.14,1871.71,NaN,NaN,439.44,425.2,3848.93,4557.95,2177.09,1538.94,14510.25,10195.48,-7763.64,-4722.59,48.48,49.31,19.11,19.46,2.53,3.14,0,0,0.63,0.71,5.48,7.66,3.1,2.59,20.67,17.13,31.03,27.79,12.23,10.97,1.62,1.77,0,0,0.4,0.4,3.51,4.32,1.98,1.46,13.23,9.65
G21,36,Thane MT,Maharashtra,313,313,208,203,66.5,64.9,NaN,NaN,5.1,4.1,62,74,NaN,2,141.1,149.1,0.44,0.5,NaN,0.01,2294,2313,7.33,7.39,16.85,17.66,123.51,130.53,2.09,2.36,NaN,NaN,NaN,NaN,NaN,NaN,734.4,878.4,642.8,768.9,8074.64,7005.11,10787.33,9590.81,-2712.69,-2585.7,5722.64,4697.63,7645.17,6431.61,-1922.53,-1733.97,7067.83,6131.66,9442.28,8394.95,-2374.45,-2263.29,6040.82,5162.74,3101.31,2722.14,132.21,172.63,399.07,315.79,NaN,NaN,NaN,NaN,NaN,NaN,1113.92,1217.51,NaN,NaN,56,53.83,28.75,28.38,1.23,1.8,3.7,3.29,NaN,NaN,NaN,NaN,NaN,NaN,10.33,12.69,42.81,34.62,21.98,18.25,0.94,1.16,2.83,2.12,NaN,NaN,NaN,NaN,NaN,NaN,7.89,8.16
G23,19,Meghalaya STC,Meghalaya,65,52,40,26,61.5,50,8,9,63,65,0,1,0,0,21.2,16.2,0,0.06,0,0,276,288,4.25,5.54,20.99,15.42,89.15,85.41,4.57,3.63,696.3,534.9,394.2,274.8,63.9,52,3.7,2.7,15.6,14.4,835.19,1059.36,1208.19,1401.2,-373,-341.84,3948.89,6535.23,5712.48,8644.05,-1763.59,-2108.82,3520.3,5581.45,5092.48,7382.51,-1572.18,-1801.05,846.39,1060.24,209.2,173.8,14.96,17.85,12.3,18.37,NaN,NaN,66.23,49.8,8.93,35.99,50.18,45.15,-364.07,-305.85,70.05,75.67,17.32,12.4,1.24,1.27,1.02,1.31,NaN,NaN,5.48,3.55,0.74,2.57,4.15,3.22,40.02,65.41,9.89,10.72,0.71,1.1,0.58,1.13,NaN,NaN,3.13,3.07,0.42,2.22,2.37,2.79
G24,21,Mizoram ST,Mizoram,34,34,16,19,47.1,55.9,5.2,4.3,5.9,0,0,0,0,0,6.5,7.1,0,0,0,0,418,418,12.29,12.29,4.28,4.67,52.62,57.45,3,3.2,NaN,NaN,NaN,NaN,NaN,NaN,0.5,0.5,3.6,4.3,170.52,194.6,2402.36,1890.14,-2231.84,-1695.54,2611.33,2729.31,36789.59,26509.68,-34178.25,-23780.36,1374.05,1568.09,19358.26,15230.78,-17984.21,-13662.69,2172.98,1728.1,128.84,94.63,39.78,36.65,60.74,30.74,0,0,0,0,0.02,0.02,0,0,-2231.82,-1695.52,90.45,91.43,5.36,5.01,1.66,1.94,2.53,1.63,0,0,0,0,0,0,0,0,332.77,242.37,19.73,13.27,6.09,5.14,9.3,4.31,0,0,0,0,0,0,0,0
G25,22,Nagaland ST,Nagaland,213,233,123,114,57.7,48.9,5.5,5.5,44.8,52.9,0,6,0,3,59.7,58,0,0.1,0,0.05,1050,1050,4.93,4.51,15.56,15.13,76.73,68.2,3.78,3.75,NaN,NaN,NaN,NaN,NaN,NaN,15,15,19.3,17.6,1225,1137,5051,4468,-3826,-3331,2053.65,1960.34,8467.73,7703.45,-6414.08,-5743.1,1575.66,1336.94,6496.88,5253.69,-4921.22,-3916.75,3298,2934,802,672,239,159,259,267,NaN,NaN,377,372,42,42,34,22,-3784,-3289,65.29,65.67,15.88,15.04,4.73,3.56,5.13,5.98,NaN,NaN,7.46,8.33,0.83,0.94,0.67,0.49,55.29,50.59,13.45,11.59,4.01,2.74,4.34,4.6,NaN,NaN,6.32,6.41,0.7,0.72,0.57,0.38
G26,27,Odisha SRTC,Odisha,422,376,299,294,70.9,78.2,4.4,4.6,5,11,26,46,NaN,NaN,291.4,320.5,0.09,0.14,NaN,NaN,697,770,1.65,2.05,114.55,114.05,189.2,233.55,4.66,4.59,NaN,NaN,NaN,NaN,NaN,NaN,54.8,57.2,35.6,41.7,7792.26,7643.57,7810.59,6923.1,-18.33,720.47,2673.8,2384.67,2680.09,2159.89,-6.29,224.77,5058.92,5569.49,5070.82,5044.52,-11.9,524.97,1889.16,1329.41,3725.93,3504.09,394.35,432.33,345.55,348.42,111,111,667.92,574.93,367.53,365.77,309.15,257.15,349.2,1086.24,24.19,19.2,47.7,50.61,5.05,6.24,4.42,5.03,1.42,1.6,8.55,8.3,4.71,5.28,3.96,3.71,6.48,4.15,12.78,10.93,1.35,1.35,1.19,1.09,0.38,0.35,2.29,1.79,1.26,1.14,1.06,0.8
G28,28,Pepsu RTC,Punjab,989,981,866,860,87.6,87.7,8,8,65,60,153,150,17,29,1073.84,1089.89,0.14,0.14,0.02,0.03,3742,4397,3.78,4.48,78.62,67.91,297.47,304.38,4.45,4.44,1081.54,1107.22,1073.84,1089.89,99.3,98.4,NaN,NaN,NaN,NaN,36712.84,34083.71,40294.21,35180.58,-3581.37,-1096.87,3418.84,3127.26,3752.35,3227.9,-333.51,-100.64,10170.18,9518.86,11162.29,9825.19,-992.11,-306.33,16352.11,12999.32,13107.95,11287.42,559.61,574.11,357.46,431.11,793.71,950.03,929.93,855.29,3589.06,3108.72,4604.38,4974.58,7.69,2011.85,40.58,36.95,32.53,32.08,1.39,1.63,0.89,1.23,1.97,2.7,2.31,2.43,8.91,8.84,11.43,14.14,15.23,11.93,12.21,10.36,0.52,0.53,0.33,0.4,0.74,0.87,0.87,0.78,3.34,2.85,4.29,4.56
G28,30,PUNBUS,Punjab,1212,1201,1212,1201,100,100,7,7,NaN,NaN,33,47,14,15,1262.6,1386.3,0.03,0.03,0.01,0.01,2500,2500,2.06,2.08,138.36,151.92,285.4,316.24,4.5,4.54,78212.2,77504.1,44281.8,45132.3,56.6,58.2,1266.6,1252,286.3,285.6,37120.62,40058.62,34918.9,33352.74,2201.72,6705.88,2940.13,2889.63,2765.74,2405.9,174.39,483.73,8391.12,9138.19,7893.42,7608.44,497.7,1529.75,8876.04,8458,15252.89,13907.3,1061.57,1093.91,803.95,774.86,286.15,317.5,1280.99,1806.59,6430.91,6272.14,926.4,722.44,8632.63,12978.02,25.42,25.36,43.68,41.7,3.04,3.28,2.3,2.32,0.82,0.95,3.67,5.42,18.42,18.81,2.65,2.17,7.03,6.1,12.08,10.03,0.84,0.79,0.64,0.56,0.23,0.23,1.01,1.3,5.09,4.52,0.73,0.52
G28,31,State Transport Punjab,Punjab,439,726,439,726,100,100,7,7,31.7,58.7,9,7,3,1,328.8,409,0.03,0.02,0.01,0,4720,5013,10.75,6.9,19.09,22.35,205.22,154.35,4.5,4.54,16665.9,27557.5,12541.4,16749.9,75.3,60.8,405.2,372.3,252.8,140.5,10967.29,14076.24,20764.39,21326.47,-9797.1,-7250.23,3335.14,3441.46,6314.44,5214.04,-2979.29,-1772.59,6844.5,5311.99,12958.71,8048.03,-6114.21,-2736.04,14757.6,14864.13,3943.21,4140.58,183.85,243.98,151.82,236.53,149.47,209.59,36.39,59.37,1370.24,1413,171.81,159.29,-8426.86,-5837.23,71.07,69.7,18.99,19.42,0.89,1.14,0.73,1.11,0.72,0.98,0.18,0.28,6.6,6.63,0.83,0.75,44.88,36.34,11.99,10.12,0.56,0.6,0.46,0.58,0.45,0.51,0.11,0.15,4.17,3.45,0.52,0.39
G29,32,Rajasthan SRTC,Rajasthan,4674,4480,4202,4075,89.9,91,3.7,4.1,10.5,15.2,488,390,168,149,5995.8,8904.2,0.08,0.04,0.03,0.02,21384,19822,4.58,4.42,76.82,123.07,351.45,544.53,4.93,4.93,299790.5,295211.5,222144.76,211371.43,74.1,71.6,3466,3129.1,203.2,191.4,162122.69,144331.97,194564.63,177995.9,-32441.94,-64840.65,2703.93,1620.94,3245.01,1999,-541.08,-728.2,9503.03,8826.56,11404.66,10885.27,-1901.63,-3965.3,71534.68,74224.42,64698.93,51885.11,4623.28,4504.64,2267.5,2343.52,7685.05,6920.59,6212.57,4157.55,14929.48,14422.53,22613.14,19537.54,-17512.46,-50418.12,36.77,41.7,33.25,29.15,2.38,2.53,1.17,1.32,3.95,3.89,3.19,2.34,7.67,8.1,11.62,10.98,11.93,8.34,10.79,5.83,0.77,0.51,0.38,0.26,1.28,0.78,1.04,0.47,2.49,1.62,3.77,2.19
G30,33,Sikkim NT,Sikkim,97,95,86,47,88.7,49.5,6.7,7,24,31,0,0,0,0,18.8,17.9,0,0,0,0,774,870,7.98,9.16,6.67,5.63,53.18,51.59,3.3,4.28,623,555,375,441,60.2,79.5,12.8,13.1,36.2,37.9,3410,2901,3908,3661,-498,-760,18109.4,16215.76,20754.12,20463.95,-2644.72,-4248.18,9631.41,8366.26,11037.99,10558.04,-1406.58,-2191.78,3054,2715,588,530,91,40,119,100,0,0,0,0,56,56,0,220,-442,-704,78.15,74.16,15.05,14.48,2.33,1.09,3.05,2.73,0,0,0,0,1.43,1.53,0,6.01,162.19,151.76,31.23,29.63,4.83,2.24,6.32,5.59,0,0,0,0,2.97,3.13,0,12.3
G31,20,Metro TC (Chennai) Limited,Tamil Nadu,3660,3585,3210,3050,87.7,85.1,5.1,4.3,NaN,10.1,1813,1487,119,124,3600.4,3442.7,0.5,0.43,0.03,0.04,23982,23519,6.55,6.56,41.13,40.1,269.51,263.1,4.33,4.34,257947,247877,192169,187962,74.5,75.8,18068,17544,1352.5,1340.7,135486.14,125263.34,149679.69,136888.28,-14193.55,-11624.94,3763.05,3638.48,4157.27,3976.14,-394.22,-337.67,10141.94,5215.2,11204.41,10461.27,-1062.47,-888.4,74217.76,68242.21,47772.73,38446.19,3320.98,3289.67,4385.66,4353.86,7683.12,7705.42,5466.71,7945.35,1070.39,1053.55,5762.34,5852.03,-13123.16,-10571.39,49.58,49.85,31.92,28.09,2.22,2.4,2.93,3.18,5.13,5.63,3.65,5.8,0.72,0.77,3.85,4.28,20.61,19.82,13.27,11.17,0.92,0.96,1.22,1.26,2.13,2.24,1.52,2.31,0.3,0.31,1.6,1.7
G31,35,State Exp.TC TN Ltd.,Tamil Nadu,1108,1042,1019,932,92,89.4,3.1,3,50.2,47.4,389,363,85,59,2253.4,2040.9,0.17,0.18,0.04,0.03,6867,7002,6.2,6.72,89.9,79.86,557.19,536.61,5.08,5.05,91735.1,85512.9,75715.8,67142.7,82.5,78.5,270.1,241.8,66.8,63.6,61943.84,50753.62,75115.96,64228.91,-13172.12,-13475.29,2748.93,2486.85,3333.48,3147.12,-584.55,-660.27,15316.71,13344.63,18573.75,16887.68,-3257.04,-3543.05,25384.48,23884.21,25400.74,19796.99,1768.14,1172.71,891.04,783.37,6695.42,6355.58,4675.09,4409.91,904.27,1003.68,9396.78,6822.46,-12267.85,-12471.61,33.79,37.19,33.82,30.82,2.35,1.83,1.19,1.22,8.91,9.9,6.22,6.87,1.2,1.56,12.51,10.62,11.27,11.7,11.27,9.7,0.78,0.57,0.4,0.38,2.97,3.11,2.07,2.16,0.4,0.49,4.17,3.34
G31,37,TN STC (Coimbatore) Ltd.,Tamil Nadu,3207,3129,3083,3016,96.1,96.4,5.1,4.6,41.4,30.88,813,759,168,172,4645.9,4560.4,0.17,0.17,0.04,0.04,19152,17555,5.97,5.61,66.46,71.17,396.89,399.3,5.17,5.16,333801.2,321972.8,227784.3,223704.7,68.2,69.5,9023.3,9142.2,770.9,800.5,123538.63,113779.64,144411.17,130548.54,-20872.54,-16768.9,2659.11,2494.95,3108.38,2862.66,-449.27,-367.71,10553.85,9962.45,12336.98,11430.72,-1783.13,-1468.27,66591.89,60670.56,51862.74,43411.01,3826.05,3954.98,2186.55,2174.79,6468.3,7000.14,5471.22,5512.05,3458.46,3384.21,4545.96,4440.8,-17414.08,-13384.69,46.11,46.47,35.91,33.25,2.65,3.03,1.51,1.67,4.48,5.36,3.79,4.22,2.39,2.59,3.15,3.4,14.33,13.3,11.16,9.52,0.82,0.87,0.47,0.48,1.39,1.53,1.18,1.21,0.74,0.74,0.98,0.97
G31,38,TN STC (Kumbakonam) Ltd.,Tamil Nadu,3760,3678,3602,3488,95.8,94.8,5.1,4.7,44.8,34.4,1044,1093,221,263,6200.7,6137.2,0.17,0.18,0.04,0.04,23329,22106,6.2,6.01,72.82,76.06,451.81,457.16,5.59,5.58,388195,384238,268500,264657.7,69.2,68.9,10749.6,10616.6,783.3,790.8,157915.86,145906.22,172382.43,154121.2,-14466.57,-8214.98,2546.76,2377.4,2780.07,2511.26,-233.31,-133.86,11506.55,10868.49,12560.66,11480.42,-1054.11,-611.93,75499.79,67345.63,64423.27,54457.2,4972.93,5189.5,2992.28,2765.35,6161.29,6455.06,5708.23,7079.41,4183.47,4063.3,8441.17,6765.75,-10283.1,-4151.68,43.8,43.7,37.37,35.33,2.88,3.37,1.74,1.79,3.57,4.19,3.31,4.59,2.43,2.64,4.9,4.39,12.18,10.97,10.39,8.87,0.8,0.85,0.48,0.45,0.99,1.05,0.92,1.15,0.67,0.66,1.36,1.1
G31,39,TN STC (Madurai) Ltd.,Tamil Nadu,2509,2409,2398,2393,95.6,99.3,4.8,4.3,26.5,22.3,640,702,128,145,3898.4,3878.9,0.16,0.18,0.03,0.04,14813,14735,5.9,6.12,72.1,72.12,425.69,441.14,5.37,5.37,265797.7,258912.6,190220.8,188090.9,71.6,72.6,6713.5,6796.8,733.1,773,105100.23,99484.78,116236,105415.79,-11135.77,-5931.01,2695.98,2564.78,2981.63,2717.69,-285.65,-152.91,11476.52,11314.28,12692.5,11988.81,-1215.98,-674.53,53331.69,48470.53,42416.77,35934.88,3175.27,3173.78,1690.99,1535.57,3702.3,3769.34,3826.32,4725.82,2292.38,2218.88,5800.28,5586.99,-8843.39,-3712.13,45.88,45.98,36.49,34.09,2.73,3.01,1.45,1.46,3.19,3.58,3.29,4.48,1.97,2.1,4.99,5.3,13.68,12.5,10.88,9.26,0.81,0.82,0.43,0.4,0.95,0.97,0.98,1.22,0.59,0.57,1.49,1.44
G31,40,TN STC (Salem) Ltd.,Tamil Nadu,2123,2107,2042,2021,96.2,95.9,5.7,5,58.3,38.6,198,205,NaN,NaN,3667.7,3688.5,0.05,0.06,NaN,NaN,13427,13075,6.32,6.21,74.84,77.29,473.32,479.61,5.47,5.42,234325.5,236292.1,165293.2,167153.1,70.5,70.7,5654.6,5879.9,729.7,764.6,86744.91,82270.52,103254.53,91950.94,-16509.62,-9680.42,2365.1,2230.47,2815.24,2492.92,-450.14,-262.45,11194.41,10697.61,13324.97,11956.35,-2130.56,-1258.74,44212.34,39237.97,38945.53,33536.95,1518.33,1464.83,2201.65,2358.48,4436.5,4589.61,3133.79,2584.48,2466.47,2529.63,6339.92,5648.99,-14043.15,-7150.79,42.82,42.67,37.72,36.47,1.47,1.59,2.13,2.56,4.3,4.99,3.04,2.81,2.39,2.75,6.14,6.14,12.05,10.64,10.62,9.09,0.41,0.4,0.6,0.64,1.21,1.24,0.85,0.7,0.67,0.69,1.73,1.53
G31,41,TN STC (Villupuram) Ltd.,Tamil Nadu,3469,3400,3311,3237,95.4,95.2,4.9,4.7,44.3,36.3,1376,1446,211,204,6032.8,5970,0.23,0.24,0.03,0.03,22821,22629,6.58,6.66,72.43,72.28,476.45,481.06,5.56,5.58,376590.6,374536.6,284793.5,280068.6,75.6,74.8,8498,8568.1,671.2,690.4,153204.52,142883,166326.28,147791.43,-13121.76,-4908.43,2539.53,2393.35,2757.03,2475.57,-217.51,-82.22,12099.69,11513.54,13136.02,11909.06,-1036.32,-395.52,71426.07,64508.23,63106.75,52616.87,3986.39,4267.82,2735.1,3275.02,4538.82,4393.43,6181.69,5895.49,4180.36,4114.39,10171.1,8720.18,-8941.4,-794.04,42.94,43.65,37.94,35.6,2.4,2.89,1.64,2.22,2.73,2.97,3.72,3.99,2.51,2.78,6.12,5.9,11.84,10.81,10.46,8.81,0.66,0.71,0.45,0.55,0.75,0.74,1.02,0.99,0.69,0.69,1.69,1.46
G32,42,Tripura RTC,Tripura,47,63,36,35,76.6,55.6,6.2,5.9,16.3,14.3,0,0,0,0,12.2,15.6,0,0,0,0,467,480,9.94,7.62,7.16,8.9,71.12,67.84,5.02,4.95,585.4,655.2,353.6,393.1,60.4,60,6.6,8.8,38.5,38.3,330.07,1900,1890.27,3175,-1560.2,-1275,2705.49,12179.49,15494.02,20352.56,-12788.52,-8173.08,1924.05,8262.67,11018.77,13807.35,-9094.72,-5544.68,1445,1460,111.41,180,19.14,50,40.49,70,0,1160,70,80,10.57,25,193.66,150,-1549.63,-1250,76.44,45.98,5.89,5.67,1.01,1.57,2.14,2.2,0,36.54,3.7,2.52,0.56,0.79,10.25,4.72,118.44,93.59,9.13,11.54,1.57,3.21,3.32,4.49,0,74.36,5.74,5.13,0.87,1.6,15.87,9.62
G33,43,Uttar Pradesh SRTC,Uttar Pradesh,9600,8893,9318,8634,97.1,97.1,NaN,NaN,NaN,NaN,766,798,300,304,11729,11122,0.07,0.07,0.03,0.03,26595,27172,2.77,3.06,120.83,112.14,334.73,342.64,5.16,5.18,563005,533846,365953,384369,65,72,5356,5265,152.9,162.2,291465.63,252935.8,305108.87,261195.82,-13643.24,-8260.02,2485,2274.19,2601.32,2348.46,-116.32,-74.27,8318.08,7792.36,8707.44,8046.83,-389.36,-254.47,92652.78,82019.2,102880.68,82135.74,6936.21,7260.08,7044.69,7250.5,4026.9,2833.85,14598.6,12698.55,26523,29366.49,50446.01,37631.41,12879.76,21106.47,30.37,31.4,33.72,31.45,2.27,2.78,2.31,2.78,1.32,1.08,4.78,4.86,8.69,11.24,16.53,14.41,7.9,7.37,8.77,7.38,0.59,0.65,0.6,0.65,0.34,0.25,1.24,1.14,2.26,2.64,4.3,3.38
G34,44,Uttarakhand TC,Uttarakhand,1225,1215,1145,1133,93.5,93.3,4.5,4,35,40,112,109,46,59,1404.7,1324,0.08,0.08,0.03,0.04,7804,7588,6.37,6.25,49.31,47.8,314.15,298.55,4.66,4.71,1515.7,1419.4,1376.6,1297.5,90.8,91.4,350.72,358.78,78.4,80.9,40428.84,33714.68,44456.75,36249.48,-4027.91,-2534.8,2878.21,2546.46,3164.97,2737.92,-286.76,-191.45,9041.95,7602.39,9942.8,8173.96,-900.85,-571.58,14537.24,12293.17,17155.56,13720.36,2138.19,1118.2,2127.64,1149.51,0,0,2097.34,2325.32,3548.77,2722.57,2852.01,2920.35,-479.14,187.77,32.7,33.91,38.59,37.85,4.81,3.08,4.79,3.17,0,0,4.72,6.41,7.98,7.51,6.42,8.06,10.35,9.29,12.21,10.36,1.52,0.84,1.51,0.87,0,0,1.49,1.76,2.53,2.06,2.03,2.21
G35,8,Calcutta STC,West Bengal,718,779,309,380,43,48.8,5.7,5.4,21.7,17,91,90,6,11,215.7,260.4,0.42,0.35,0.03,0.04,5059,5485,7.05,7.04,11.68,13.01,82.31,91.57,2.96,2.97,12277,14777.5,10120,12175,82.4,82.4,865.1,1077.2,330.1,378.8,6197.6,7043.71,23052.52,21853.94,-16854.92,-14810.23,2873.25,2705.27,10687.31,8393.42,-7814.06,-5688.15,2364.86,2477.26,8796.32,7685.98,-6431.46,-5208.73,16894.16,15369.37,4439.42,4582.29,181.87,372.56,321.54,311.71,0,0,800,800,0,0,415.53,418.01,-16854.92,-14810.23,73.29,70.33,19.26,20.97,0.79,1.7,1.39,1.43,NaN,NaN,3.47,3.66,0,0,1.8,1.91,78.32,59.03,20.58,17.6,0.84,1.43,1.49,1.2,NaN,NaN,3.71,3.07,0,0,1.93,1.61
G35,24,North Bengal STC,West Bengal,688,720,455,438,66.1,60.8,8.4,7.4,40,64,61,79,12,8,361.9,404.3,0.17,0.2,0.03,0.02,3111,3410,4.52,4.74,31.87,32.48,144.12,153.84,3.94,4.01,18095,20214,14560.3,15614.4,80.5,77.2,645,672.4,256.8,255.9,7255.45,7511.84,18876.49,17931.44,-11621.04,-10419.6,2004.77,1858.03,5215.8,4435.29,-3211.03,-2577.26,2889.24,2858.39,7516.92,6823.23,-4627.68,-3964.84,9834.17,9562.08,5615.37,5215.03,481.37,331.01,437.46,291.31,1302,1367.1,580,609,2.17,0,623.95,555.91,-11618.87,-10419.6,52.1,53.33,29.75,29.08,2.55,1.85,2.32,1.62,6.9,7.62,3.07,3.4,0.01,0,3.31,3.1,27.17,23.65,15.52,12.9,1.33,0.82,1.21,0.72,3.6,3.38,1.6,1.51,0.01,0,1.72,1.38
G35,34,South Bengal STC,West Bengal,424,477,335,320,79,67.1,6.1,6.3,8.4,8.5,59,88,13,19,353.8,358.4,0.17,0.25,0.04,0.05,2031,2244,4.79,4.7,47.72,43.76,228.6,205.86,4.1,4.12,17689,17921,16734.1,16039.8,94.6,89.5,957.5,948.1,618.7,544.5,13492.79,12407.31,17039.97,16574.55,-3547.18,-4167.24,3813.89,3461.67,4816.54,4624.34,-1002.65,-1162.67,8718.53,7126.34,11010.58,9519.86,-2292.05,-2393.52,7012.99,7289.06,5070.82,4423.68,307.36,267.43,393.33,704.1,2193.27,2133.07,965.41,997.06,410.34,394.93,686.45,365.22,-3136.84,-3772.31,41.16,43.98,29.76,26.69,1.8,1.61,2.31,4.25,12.87,12.87,5.67,6.02,2.41,2.38,4.03,2.2,19.82,20.34,14.33,12.34,0.87,0.75,1.11,1.96,6.2,5.95,2.73,2.78,1.16,1.1,1.94,1.02
