gis_id,state_name,population_total_val,average_fleet_held_val_2013-14,average_fleet_held_val_2012-13,average_fleet_operated_val_2013-14,average_fleet_operated_val_2012-13,fleet_utilisation_perc_2013-14,fleet_utilisation_perc_2012-13,avg_age_of_fleet_val_2013-14,avg_age_of_fleet_val_2012-13,over_aged_vehicles_perc_2013-14,over_aged_vehicles_perc_2012-13,number_of_accidents_2013-14,number_of_accidents_2012-13,number_of_fatal_accidents_2013-14,number_of_fatal_accidents_2012-13,revenue_earning_kilometres_2013-14,revenue_earning_kilometres_2012-13,number_of_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_accidents_per_lakh_reveue_earning_kilometres_2012-13,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2013-14,number_of_fatal_accidents_per_lakh_reveue_earning_kilometres_2012-13,staff_strength_2013-14,staff_strength_2012-13,staff_bus_ratio_2013-14,staff_bus_ratio_2012-13,staff_productivity_2013-14,staff_productivity_2012-13,vehicle_productivity_2013-14,vehicle_productivity_2012-13,fuel_efficiency_2013-14,fuel_efficiency_2012-13,passenger_kilometres_offered_2013-14,passenger_kilometres_offered_2012-13,passenger_kms_performed_2013-14,passenger_kms_performed_2012-13,occupancy_ratio_2013-14,occupancy_ratio_2012-13,passenger_carried_2013-14,passenger_carried_2012-13,passengers_carried_per_bus_per_day_2013-14,passengers_carried_per_bus_per_day_2012-13,total_revenue_2013-14,total_revenue_2012-13,total_cost_2013-14,total_cost_2012-13,net_profit_loss_2013-14,net_profit_loss_2012-13,revenue_per_km_2013-14,revenue_per_km_2012-13,cost_per_km_2013-14,cost_per_km_2012-13,profit_loss_per_km_2013-14,profit_loss_per_km_2012-13,revenue_per_bus_per_day_2013-14,revenue_per_bus_per_day_2012-13,cost_per_bus_per_day_2013-14,cost_per_bus_per_day_2012-13,profit_loss_per_bus_per_day_2013-14,profit_loss_per_bus_per_day_2012-13,staff_costs_2013-14,staff_costs_2012-13,fuel_lubricant_costs_2013-14,fuel_lubricant_costs_201_2-13,cost_of_tyres_tubes_2013-14,cost_of_tyres_tubes_2012-13,cost_of_spares_2013-14,cost_of_spares_2012-13,interest_2013-14,interest_2012-13,depreciation_2013-14,depreciation_2012-13,taxes_2013-14,taxes_2012-13,other_cost_2013-14,other_cost_2012-13,profit_before_tax_2013-14,profit_before_tax_2012-13,staff_cost_as_percent_of_total_cost_2013-14,staff_cost_as_percent_of_total_cost_2012-13,fuel_lubricant_cost_as_percent_of_total_cost_2013-14,fuel_lubricant_cost_as_percent_of_total_cost_2012-13,tyres_tubes_cost_as_percent_of_total_cost_2013-14,tyres_tubes_cost_as_percent_of_total_cost_2012-13,spares_cost_as_percent_of_total_cost_2013-14,spares_cost_as_percent_of_total_cost_2012-13,interest_cost_as_percent_of_total_cost_2013-14,interest_cost_as_percent_of_total_cost_2012-13,depreciation_cost_as_percent_of_total_cost_2013-14,depreciation_cost_as_percent_of_total_cost_2012-13,tax_cost_as_percent_of_total_cost_2013-14,tax_cost_as_percent_of_total_cost_2012-13,other_costs_as_percent_of_total_cost_2013-14,other_costs_as_percent_of_total_cost_2012-13,staff_cost_per_revenue_earning_km_2013-14,staff_cost_per_revenue_earning_km_2012-13,fuel_lubricant_cost_per_revenue_earning_km_2013-14,fuel_lubricant_cost_per_revenue_earning_km_2012-13,tyres_tubes_cost_per_revenue_earning_km_2013-14,tyres_tubes_cost_per_revenue_earning_km_2012-13,spares_cost_per_revenue_earning_km_2013-14,spares_cost_per_revenue_e_arning_km_2012-13,interest_cost_per_revenue_earning_km_2013-14,interest_cost_per_revenue_earning_km_2012-13,depreciation_cost_per_revenue_earning_km_2013-14,deprecia_tion_cost_per_revenue_earning_km_2012-13,tax_cost_per_revenue_earning_km_2013-14,tax_cost_per_revenue_earning_km_2012-13,other_costs_per_revenue_earning_km_2013-14,other_costs_per_revenue_earning_km_2012-13
G1,A & N Islands,380581,258,227,247,199,95.74,87.67,7.30,8.20,14,29,9,16,1,2,100.30,89.70,0.09,0.18,0.01,0.02,858,858,3.33,3.78,32.04,28.64,106.54,108.25,3.79,3.54,101.50,91.30,100.30,89.70,98.90,98.20,101.80,133.10,108.10,160.70,1886.55,1671.55,4870.71,4299.22,-2984.16,-2627.67,1880.34,1863.70,4854.69,4793.42,-2974.34,-2929.72,2003.35,2017.44,5172.25,5188.85,-3168.91,-3171.41,1675.44,1604.15,1594.07,1246.87,200,191.56,338.55,302.55,517.62,471.02,443.59,385.22,101.44,97.85,0,0,-2882.72,-2529.82,34.40,37.31,32.73,29,4.11,4.46,6.95,7.04,10.63,10.96,9.11,8.96,2.08,2.28,0,0,16.70,17.89,15.89,13.90,1.99,2.14,3.37,3.37,5.16,5.25,4.42,4.30,1.01,1.09,0,0
G2,Andhra Pradesh,84665533,22145,22477,20423,22402,92.22,99.67,NaN,NaN,NaN,NaN,2103,2413,805,928,26226,29783,0.08,0.08,0.03,0.03,122109,122287,5.51,5.44,58.84,66.73,324.46,363.03,5.15,5.15,1299236,1476939,882441,1017168,67.90,68.90,50381,51673.10,623.30,629.80,660324.12,666151.62,744592.96,669864.92,-84268.84,-3713.30,2517.82,2236.68,2839.14,2249.15,-321.32,-12.47,8169.37,8119.74,9211.92,8165,-1042.55,-45.26,299258.43,267343.43,251505.84,248260.86,17921.09,18730.75,10910.15,10288.36,38471.32,36861.90,39567.58,42734.72,45338.19,7789.20,41620.36,37855.70,-38930.65,4075.90,40.19,39.91,33.78,37.06,2.41,2.80,1.47,1.54,5.17,5.50,5.31,6.38,6.09,1.16,5.59,5.65,11.41,8.98,9.59,8.34,0.68,0.63,0.42,0.35,1.47,1.24,1.51,1.43,1.73,0.26,1.59,1.27
G3,Arunachal Pradesh,1382611,219,207,104,104,47.49,50.24,9,8,53,56,1,1,NaN,NaN,81.10,76.70,0.01,0.01,NaN,NaN,809,809,3.69,3.91,27.47,25.98,101.48,101.53,3.33,3.33,91.90,79,83.10,78.50,90.50,99.40,0.30,0.30,0.40,0.40,16.20,15.40,54.95,53,-38.75,-37.60,19.97,20.08,67.74,69.09,-47.77,-49.02,20.27,20.38,68.74,70.15,-48.48,-49.77,26.95,25.98,13,12.02,1.49,1.45,13.51,13.55,0,0,0,0,0,0,0,0,-38.75,-37.60,49.04,49.02,23.66,22.68,2.71,2.74,24.59,25.57,0,0,0,0,0,0,0,0,0.33,0.34,0.16,0.16,0.02,0.02,0.17,0.18,0,0,0,0,0,0,0,0
G5,Bihar,103804637,414,414,88,107,21.26,25.85,11.80,10.80,100,98,2,1,0,0,71.50,100.70,0.03,0.01,0,0,920,1204,2.22,2.91,21.30,22.90,47.33,66.61,4.31,4.32,3433,4831.20,2677.70,3575.10,78,74,26.50,52.90,17.50,35,1630.53,2053.36,2576.02,3062.69,-945.49,-1009.33,2279.82,2040.10,3601.82,3042.91,-1321.99,-1002.81,1079.04,1358.85,1704.73,2026.80,-625.70,-667.94,1224,1491,815.38,957.17,98.79,133.75,131.53,145.31,NaN,NaN,NaN,NaN,31.74,37.66,274.58,297.80,-913.75,-971.67,47.52,48.68,31.65,31.25,3.83,4.37,5.11,4.74,NaN,NaN,NaN,NaN,1.23,1.23,10.66,9.72,17.11,14.81,11.40,9.51,1.38,1.33,1.84,1.44,NaN,NaN,NaN,NaN,0.44,0.37,3.84,2.96
G6,Chandigarh,25545198,468,472,401,424,85.68,89.83,6.86,6.10,51.60,23.50,131,115,5,6,335.20,373.20,0.39,0.31,0.01,0.02,1826,1921,3.90,4.07,50.29,53.22,196.23,216.60,3.42,3.62,16760,18658,15419.20,17165.40,92,92,611.90,671.60,358.20,389.80,10430.16,10795.10,17551.98,17812.39,-7121.82,-7017.29,3111.62,2892.89,5236.27,4773.39,-2124.65,-1880.50,6105.94,6266.02,10275.13,10339.21,-4169.20,-4073.19,7695.98,7105.61,5796.71,4643.61,315.74,287.01,833.03,753.99,74.22,74.20,758.38,762.88,830.72,1080.85,1247.20,3104.24,-6291.10,-5936.44,43.85,39.89,33.03,26.07,1.80,1.61,4.75,4.23,0.42,0.42,4.32,4.28,4.73,6.07,7.11,17.43,22.96,19.04,17.29,12.44,0.94,0.77,2.49,2.02,0.22,0.20,2.26,2.04,2.48,2.90,3.72,8.32
G10,Delhi,16753235,5341,5602,4567,4805,85.51,85.77,6.30,5,27.57,30.01,225,251,63,68,3165.21,3534.09,0.07,0.07,0.02,0.02,35503,38103,6.65,6.80,24.43,25.41,162.36,172.84,2.79,2.82,186747.39,208511.31,155143.46,180219.85,83.10,86.40,15867.61,17071.79,813.90,834.90,120957.80,130444.24,466803.19,429667.95,-345845.39,-299223.71,3821.48,3691.03,14747.94,12157.81,-10926.46,-8466.78,6204.67,6379.53,23945.19,21013.43,-17740.53,-14633.90,127334.08,121432.98,54621.78,56868.78,885.60,959.39,2737.18,2752.34,234915.48,203959.67,17141.82,17744.39,2249.87,2169.20,26917.38,23781.20,-343595.52,-297054.51,27.28,28.26,11.70,13.24,0.19,0.22,0.59,0.64,50.32,47.47,3.67,4.13,0.48,0.50,5.77,5.53,40.23,34.36,17.26,16.09,0.28,0.27,0.86,0.78,74.22,57.71,5.42,5.02,0.71,0.61,8.50,6.73
G11,Goa,1457723,547,425,313,276,57.22,64.94,4.50,6.50,4.80,16.90,59,80,5,9,286,255.64,0.21,0.31,0.02,0.04,2013,1861,3.68,4.38,38.93,37.63,143.27,164.80,4.34,4.48,11069.80,8397.80,7782,7902,70.30,94.10,317.30,301.10,158.90,194.10,12464.47,9477.47,14869.25,10801.64,-2404.78,-1324.17,4357.60,3707.35,5198.31,4225.33,-840.71,-517.98,6243,4093.41,7447.47,6963.18,-1204.47,-853.61,8051.53,6349.90,3956.64,2879.63,236.21,220.97,107.50,163.59,573.82,690.51,1028.98,510.19,173.93,157.64,740.64,-170.79,-2230.85,-1166.53,54.15,58.79,26.61,26.66,1.59,2.05,0.72,1.51,3.86,6.39,6.92,4.72,1.17,1.46,4.98,-1.58,28.15,24.84,13.83,11.26,0.83,0.86,0.38,0.64,2.01,2.70,3.60,2,0.61,0.62,2.59,-0.67
G12,Gujrat,60383628,8888,8839,7380,7444,83.03,84.22,6.30,6.70,10.15,13.50,1281,1307,166,144,10869.40,10890.10,0.12,0.12,0.02,0.01,45363,46109,5.10,5.22,49.33,48.03,251.82,249.84,4.29,4.34,538093.20,538798.40,351456,370543.20,58.95,65.65,10072.30,10806.60,815.80,884.60,293193.91,262921.67,332798.36,303722.65,-39604.45,-40800.98,2763.84,2529.13,4727.04,4234.15,-1963.20,-1705.03,6879.79,6168.94,9896.07,8693.32,-3016.28,-2524.38,123492.33,119195.92,118650.39,101989.52,7363.53,6774.15,3495.61,3434.51,10164.99,9008.98,15780.20,15840.96,32582.45,29335.37,21268.86,18143.24,-7022,-11465.61,37.11,39.24,35.65,33.58,3.08,3,1.98,2.53,5.24,5.11,5.31,5.82,11.36,11.31,36.28,32.27,41.71,39.06,20.87,19.05,1.15,0.98,0.91,1.13,2.27,2,1.53,1.53,3.44,3.17,22.68,17.78
G13,Haryana,25353081,3816,3755,3393,3474,88.92,92.52,3.10,3.10,3,3,241,295,91,92,4213.20,4225.80,0.06,0.07,0.02,0.02,18634,18974,4.88,5.05,61.95,61.02,302.49,308.32,4.73,4.76,210658,211289,152849,164849,72.60,78,4466.10,4527.20,320.60,330.30,124308.49,113245.18,164987.88,141726.37,-40679.39,-28481.19,2950.48,2679.86,3916.01,3353.85,-965.53,-673.99,8924.82,4522.65,11845.43,10340.65,-2920.61,-2078.05,69657.77,61986.36,55097.58,41722.41,2696.09,3101.53,3177.97,2751.18,2900,2900,3380,3380,22726.93,20821.31,5351.54,5063.58,-17952.46,-7659.88,42.22,43.74,33.39,29.44,1.63,2.19,1.93,1.94,1.76,2.05,2.05,2.38,13.77,14.69,3.24,3.57,16.53,14.67,13.08,9.87,0.64,0.73,0.75,0.65,0.69,0.69,0.80,0.80,5.39,4.93,1.27,1.20
G14,Himachal Pradesh,6856509,2162,2076,2144,2013,99.17,96.97,NaN,NaN,20,23,100,97,24,15,1691.30,1638.90,0.06,0.06,0.01,0.01,8777,8419,4.06,4.06,52.79,53.33,214.33,216.29,3.58,3.61,74418.50,72110.70,74418.50,72110.70,100,100,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN,NaN
G15,Jammu & Kashmir,12548926,694,704,315,329,45.39,46.73,10.30,9,53,50,32,20,6,5,201.50,207.10,0.16,0.10,0.03,0.02,2235,2207,3.22,3.13,24.70,25.71,79.55,80.59,4.28,4.24,8463.40,8697.80,6435.90,6929,76,79.70,51.80,50.70,20.40,19.70,5784.89,5453.78,10183.98,8234.63,-4399.09,-2780.85,2870.77,2633.53,5053.83,3976.35,-2183.06,-1342.82,2283.72,1622.52,4020.36,3204.63,-1736.64,-1082.21,5507.54,4169.22,2764.70,2251.38,235.77,229.24,225.69,203.86,NaN,NaN,491.96,456.29,756.64,729.30,201.68,195.34,-3642.45,-2051.55,54.08,50.63,27.15,27.34,2.32,2.78,2.22,2.48,NaN,NaN,4.83,5.54,7.43,8.86,1.98,2.37,27.33,20.13,13.72,10.87,1.17,1.11,1.12,0.98,NaN,NaN,2.44,2.20,3.75,3.52,1,0.94
G17,Karnataka,61130704,23720,22740,21733,20770,91.62,91.34,4.80,4.43,17.85,12.53,2115,1985,504,483,24757.60,23815,0.09,0.08,0.02,0.02,116488,111244,4.91,4.89,59.69,59.94,287.22,288.16,4.71,4.74,1346019.60,1293882.20,880112.20,909998.50,64.55,69.12,40771.30,39551.40,1874.50,1893.40,783550.54,670019.18,814609.97,693064.41,-31059.43,-23045.23,3217.96,2837.59,3356.62,2958.54,-138.66,-120.96,35825.83,7967.46,9311.50,8257.28,-355.05,-289.82,293267.27,257573.96,319348.20,259600.89,23292.20,22858.51,20761.14,20800.76,13705.26,10367.73,51775.33,49864.30,37578.19,32448.36,54882.38,40122.16,6518.76,9403.13,36.00,37.13,39.20,37.43,11.84,13.39,9.77,11.65,6.90,6.42,24.85,28.44,18.31,18.50,26.61,22.15,49.58,44.92,52.01,43.86,3.77,3.79,3.33,3.52,2.47,1.91,8.37,8.42,6.14,5.47,8.60,6.51
G18,Kerala,33387677,5830,5847,4704,4772,80.69,81.61,6.70,6.50,25,23.60,1037,1086,182,154,5552.30,5554.90,0.19,0.20,0.03,0.03,42240,39712,7.25,6.79,36.01,38.32,260.92,260.29,4.21,4.25,6907.10,6786,NaN,NaN,NaN,NaN,11634.30,12156.30,546.70,569.60,169058,161701.72,227706,216788.28,-58648,-55086.56,3044.83,2910.97,4101.11,3902.65,-1056.28,-991.68,7944.64,7576.85,10700.72,10158.04,-2756.08,-2581.19,66978,57978.23,72000,70216.03,4845,4807.87,4537,4190.10,22846,25222.28,6700,6610.21,27000,26956.66,22800,20806.90,-31648,-28129.90,29.41,26.74,31.62,32.39,2.13,2.22,1.99,1.93,10.03,11.63,2.94,3.05,11.86,12.43,10.01,9.60,12.06,10.44,12.97,12.64,0.87,0.87,0.82,0.75,4.11,4.54,1.21,1.19,4.86,4.85,4.11,3.75
G21,Maharashtra,112372972,24879,24462,14495,21695,58.26,88.69,6.20,5.69,4.44,4.60,4251,4363,430,420,24486.31,24043.88,0.17,0.18,0.02,0.02,159255,152513,6.40,6.23,29.33,29.02,187.50,194.21,3.14,3.27,1139211.90,1124228.70,674748.80,694594.40,63.80,65.43,44427.35,46247.94,3068,3388.30,894472.30,822518.42,1044391.63,938928.90,-149919.33,-116410.48,4803.99,4425.40,6329.44,5537.29,-1525.45,-1111.90,8459.42,8118.30,10921.17,9929.89,-2461.75,-1811.59,463593.95,423801.03,320734.69,262361.51,23775.75,21892.17,24246.10,22946.67,12253.99,16935.95,49406.82,48792.78,104625.29,95155.09,45755.04,47043.70,-42581.35,-18669.69,44.39,45.14,30.71,27.94,9.59,10.91,27.19,24.37,7.02,9.80,20.90,25.29,19.68,20.47,37.69,38.66,162.96,139.24,80.39,68.35,5.63,5.74,16.38,12.62,5.53,7.05,11.40,12.71,8.81,8.24,25.35,22.91
G23,Meghalaya,2964007,65,52,40,26,61.54,50,8,9,63,65,0,1,0,0,21.20,16.20,0,0.06,0,0,276,288,4.25,5.54,20.99,15.42,89.15,85.41,4.57,3.63,696.30,534.90,394.20,274.80,63.90,52,3.70,2.70,15.60,14.40,835.19,1059.36,1208.19,1401.20,-373,-341.84,3948.89,6535.23,5712.48,8644.05,-1763.59,-2108.82,3520.30,5581.45,5092.48,7382.51,-1572.18,-1801.05,846.39,1060.24,209.20,173.80,14.96,17.85,12.30,18.37,NaN,NaN,66.23,49.80,8.93,35.99,50.18,45.15,-364.07,-305.85,70.05,75.67,17.32,12.40,1.24,1.27,1.02,1.31,NaN,NaN,5.48,3.55,0.74,2.57,4.15,3.22,40.02,65.41,9.89,10.72,0.71,1.10,0.58,1.13,NaN,NaN,3.13,3.07,0.42,2.22,2.37,2.79
G24,Mizoram,1091014,34,34,16,19,47.06,55.88,5.20,4.30,5.90,0,0,0,0,0,6.50,7.10,0,0,0,0,418,418,12.29,12.29,4.28,4.67,52.62,57.45,3,3.20,NaN,NaN,NaN,NaN,NaN,NaN,0.50,0.50,3.60,4.30,170.52,194.60,2402.36,1890.14,-2231.84,-1695.54,2611.33,2729.31,36789.59,26509.68,-34178.25,-23780.36,1374.05,1568.09,19358.26,15230.78,-17984.21,-13662.69,2172.98,1728.10,128.84,94.63,39.78,36.65,60.74,30.74,0,0,0,0,0.02,0.02,0,0,-2231.82,-1695.52,90.45,91.43,5.36,5.01,1.66,1.94,2.53,1.63,0,0,0,0,0,0,0,0,332.77,242.37,19.73,13.27,6.09,5.14,9.30,4.31,0,0,0,0,0,0,0,0
G25,Nagaland,1980602,213,233,123,114,57.75,48.93,5.50,5.50,44.80,52.90,0,6,0,3,59.70,58,0,0.10,0,0.05,1050,1050,4.93,4.51,15.56,15.13,76.73,68.20,3.78,3.75,NaN,NaN,NaN,NaN,NaN,NaN,15,15,19.30,17.60,1225,1137,5051,4468,-3826,-3331,2053.65,1960.34,8467.73,7703.45,-6414.08,-5743.10,1575.66,1336.94,6496.88,5253.69,-4921.22,-3916.75,3298,2934,802,672,239,159,259,267,NaN,NaN,377,372,42,42,34,22,-3784,-3289,65.29,65.67,15.88,15.04,4.73,3.56,5.13,5.98,NaN,NaN,7.46,8.33,0.83,0.94,0.67,0.49,55.29,50.59,13.45,11.59,4.01,2.74,4.34,4.60,NaN,NaN,6.32,6.41,0.70,0.72,0.57,0.38
G26,Odisha,41947358,422,376,299,294,70.85,78.19,4.40,4.60,5,11,26,46,NaN,NaN,291.40,320.50,0.09,0.14,NaN,NaN,697,770,1.65,2.05,114.55,114.05,189.20,233.55,4.66,4.59,NaN,NaN,NaN,NaN,NaN,NaN,54.80,57.20,35.60,41.70,7792.26,7643.57,7810.59,6923.10,-18.33,720.47,2673.80,2384.67,2680.09,2159.89,-6.29,224.77,5058.92,5569.49,5070.82,5044.52,-11.90,524.97,1889.16,1329.41,3725.93,3504.09,394.35,432.33,345.55,348.42,111,111,667.92,574.93,367.53,365.77,309.15,257.15,349.20,1086.24,24.19,19.20,47.70,50.61,5.05,6.24,4.42,5.03,1.42,1.60,8.55,8.30,4.71,5.28,3.96,3.71,6.48,4.15,12.78,10.93,1.35,1.35,1.19,1.09,0.38,0.35,2.29,1.79,1.26,1.14,1.06,0.80
G28,Punjab,27704236,2640,2908,2517,2787,95.34,95.84,7.33,7.33,48.35,59.35,195,204,34,45,2665.24,2885.19,0.07,0.07,0.01,0.02,10962,11910,4.15,4.10,78.69,80.73,262.70,258.32,4.48,4.51,95959.64,106168.82,57897.04,62972.09,77.07,72.47,1671.80,1624.30,539.10,426.10,84800.75,88218.57,95977.50,89859.79,-11176.75,-1641.22,3231.37,3152.78,4277.51,3615.95,-1046.14,-463.17,8468.60,7989.68,10671.47,8493.89,-2202.87,-504.21,39985.75,36321.45,32304.05,29335.30,1805.03,1912,1313.23,1442.50,1229.33,1477.12,2247.31,2721.25,11390.21,10793.86,5702.59,5856.31,213.46,9152.64,41.66,40.42,33.66,32.65,5.32,6.05,3.92,4.66,3.51,4.63,6.16,8.13,33.93,34.28,14.91,17.06,67.14,54.37,36.28,30.51,1.92,1.92,1.43,1.54,1.42,1.61,1.99,2.23,12.60,10.82,5.54,5.47
G29,Rajasthan,68621012,4674,4480,4202,4075,89.90,90.96,3.70,4.10,10.50,15.20,488,390,168,149,5995.80,8904.20,0.08,0.04,0.03,0.02,21384,19822,4.58,4.42,76.82,123.07,351.45,544.53,4.93,4.93,299790.50,295211.50,222144.76,211371.43,74.10,71.60,3466,3129.10,203.20,191.40,162122.69,144331.97,194564.63,177995.90,-32441.94,-64840.65,2703.93,1620.94,3245.01,1999,-541.08,-728.20,9503.03,8826.56,11404.66,10885.27,-1901.63,-3965.30,71534.68,74224.42,64698.93,51885.11,4623.28,4504.64,2267.50,2343.52,7685.05,6920.59,6212.57,4157.55,14929.48,14422.53,22613.14,19537.54,-17512.46,-50418.12,36.77,41.70,33.25,29.15,2.38,2.53,1.17,1.32,3.95,3.89,3.19,2.34,7.67,8.10,11.62,10.98,11.93,8.34,10.79,5.83,0.77,0.51,0.38,0.26,1.28,0.78,1.04,0.47,2.49,1.62,3.77,2.19
G30,Sikkim,607688,97,95,86,47,88.66,49.47,6.70,7,24,31,0,0,0,0,18.80,17.90,0,0,0,0,774,870,7.98,9.16,6.67,5.63,53.18,51.59,3.30,4.28,623,555,375,441,60.20,79.50,12.80,13.10,36.20,37.90,3410,2901,3908,3661,-498,-760,18109.40,16215.76,20754.12,20463.95,-2644.72,-4248.18,9631.41,8366.26,11037.99,10558.04,-1406.58,-2191.78,3054,2715,588,530,91,40,119,100,0,0,0,0,56,56,0,220,-442,-704,78.15,74.16,15.05,14.48,2.33,1.09,3.05,2.73,0,0,0,0,1.43,1.53,0,6.01,162.19,151.76,31.23,29.63,4.83,2.24,6.32,5.59,0,0,0,0,2.97,3.13,0,12.30
G31,Tamil Nadu,72138958,19836,19350,18665,18137,94.10,93.73,4.83,4.37,44.25,31.43,6273,6055,932,967,30299.30,29718.60,0.21,0.20,0.03,0.03,124391,120621,6.27,6.23,69.95,69.84,435.84,436.85,5.22,5.21,1948392.10,1909342,1404476.60,1378779.70,73.16,72.97,58977.10,58789.40,5107.50,5223.60,823934.13,760341.12,927406.06,830945.09,-103471.93,-70603.97,2759.78,2598.04,3133.30,2883.34,-373.52,-285.30,11755.67,10416.60,13404.18,12302.04,-1648.52,-1262.92,410664.02,372359.34,333928.53,278200.09,22568.09,22513.29,17083.27,17246.44,39685.75,40268.58,34463.05,38152.51,18555.80,18367.64,50457.55,43837.20,-84916.13,-52236.33,44.28,44.81,36.01,33.48,16.70,18.12,12.59,14.10,32.31,36.62,27.02,32.76,13.61,15.19,41.66,40.03,95.96,89.74,78.05,66.42,5.20,5.18,4.05,4.16,10.39,10.88,8.54,9.74,4.06,4.15,13.02,11.54
G32,Tripura,3671032,47,63,36,35,76.60,55.56,6.20,5.90,16.30,14.30,0,0,0,0,12.20,15.60,0,0,0,0,467,480,9.94,7.62,7.16,8.90,71.12,67.84,5.02,4.95,585.40,655.20,353.60,393.10,60.40,60,6.60,8.80,38.50,38.30,330.07,1900,1890.27,3175,-1560.20,-1275,2705.49,12179.49,15494.02,20352.56,-12788.52,-8173.08,1924.05,8262.67,11018.77,13807.35,-9094.72,-5544.68,1445,1460,111.41,180,19.14,50,40.49,70,0,1160,70,80,10.57,25,193.66,150,-1549.63,-1250,76.44,45.98,5.89,5.67,1.01,1.57,2.14,2.20,0,36.54,3.70,2.52,0.56,0.79,10.25,4.72,118.44,93.59,9.13,11.54,1.57,3.21,3.32,4.49,0,74.36,5.74,5.13,0.87,1.60,15.87,9.62
G33,Uttar Pradesh,199581477,9600,8893,9318,8634,97.06,97.09,NaN,NaN,NaN,NaN,766,798,300,304,11729,11122,0.07,0.07,0.03,0.03,26595,27172,2.77,3.06,120.83,112.14,334.73,342.64,5.16,5.18,563005,533846,365953,384369,65,72,5356,5265,152.90,162.20,291465.63,252935.80,305108.87,261195.82,-13643.24,-8260.02,2485,2274.19,2601.32,2348.46,-116.32,-74.27,8318.08,7792.36,8707.44,8046.83,-389.36,-254.47,92652.78,82019.20,102880.68,82135.74,6936.21,7260.08,7044.69,7250.50,4026.90,2833.85,14598.60,12698.55,26523,29366.49,50446.01,37631.41,12879.76,21106.47,30.37,31.40,33.72,31.45,2.27,2.78,2.31,2.78,1.32,1.08,4.78,4.86,8.69,11.24,16.53,14.41,7.90,7.37,8.77,7.38,0.59,0.65,0.60,0.65,0.34,0.25,1.24,1.14,2.26,2.64,4.30,3.38
G34,Uttarakhand,10116752,1225,1215,1145,1133,93.47,93.25,4.50,4,35,40,112,109,46,59,1404.70,1324,0.08,0.08,0.03,0.04,7804,7588,6.37,6.25,49.31,47.80,314.15,298.55,4.66,4.71,1515.70,1419.40,1376.60,1297.50,90.80,91.40,350.72,358.78,78.40,80.90,40428.84,33714.68,44456.75,36249.48,-4027.91,-2534.80,2878.21,2546.46,3164.97,2737.92,-286.76,-191.45,9041.95,7602.39,9942.80,8173.96,-900.85,-571.58,14537.24,12293.17,17155.56,13720.36,2138.19,1118.20,2127.64,1149.51,0,0,2097.34,2325.32,3548.77,2722.57,2852.01,2920.35,-479.14,187.77,32.70,33.91,38.59,37.85,4.81,3.08,4.79,3.17,0,0,4.72,6.41,7.98,7.51,6.42,8.06,10.35,9.29,12.21,10.36,1.52,0.84,1.51,0.87,0,0,1.49,1.76,2.53,2.06,2.03,2.21
G35,West Bengal,91347736,1830,1976,1099,1138,60.05,57.59,6.73,6.37,23.37,29.83,211,257,31,38,931.40,1023.10,0.23,0.25,0.03,0.04,10201,11139,5.57,5.64,30.42,29.75,151.68,150.42,3.67,3.70,48061,52912.50,41414.40,43829.20,85.83,83.03,2467.60,2697.70,1205.60,1179.20,26945.84,26962.86,58968.98,56359.93,-32023.14,-29397.07,2897.30,2674.99,6906.55,5817.68,-4009.25,-3142.69,4657.54,4154.00,9107.94,8009.69,-4450.40,-3855.70,33741.32,32220.51,15125.61,14221,970.60,971,1152.33,1307.12,3495.27,3500.17,2345.41,2406.06,412.51,394.93,1725.93,1339.14,-31610.63,-29002.14,57.22,57.17,25.65,25.23,5.14,5.16,6.02,7.30,19.77,20.49,12.21,13.08,2.42,2.38,9.14,7.21,125.31,103.02,50.43,42.84,3.04,3,3.81,3.88,9.80,9.33,8.04,7.36,1.17,1.10,5.59,4.01
